Filename,Subject,Vowel,Word,Comments
subj1_m_cuco_339,subj1,u,cuco,added 146
subj2_f_bate_179,subj2,a,bate, 
subj2_f_pura_183,subj2,u,pura, 
subj3_m_beta_186,subj3,e,beta, 
subj3_m_seco_198,subj3,e,seco, 
subj3_m_toca_216,subj3,o,toca, 
subj4_f_bate_219,subj4,a,bate, 
subj5_f_seca_143,subj5,e,seca, 
subj6_f_veto_78,subj6,e,veto, 
subj7_f_cuco_274,subj7,u,cuco, 
subj8_f_quito_181,subj8,i,quito, 
subj8_f_toca_146,subj8,o,toca,added 210
subj9_m_quito_134,subj9,i,quito, 
subj9_m_quito_134,subj9,o,quito,can't find this entry in TG 
subj9_m_quito_291,subj9,i,quito, 
subj9_m_toca_138,subj9,o,toca,duplicate
subj9_m_toca_138,subj9,o,toca, 
subj14_m_seca_184,subj14,e,seca,correct?
subj14_m_seca_216,subj14,e,seca,  
subj14_m_seca_94,subj14,e,seca, 
subj14_m_saque_270,subj14,a,saque, 
subj14_m_seque_195,subj14,e,seque, 
subj16_f_toque_204,subj16,o,toque,added 254
subj17_f_bote_189,subj17,o,bote, 
subj22_f_voto_62,subj22,o,voto,added 223
subj23_f_saca_166,subj23,a,saca,
subj26_f_buque_118,subj26,u,buque,
subj28_f_bota_129,subj28,o,bota,
subj28_f_pica_123,subj28,i,pica, 
subj28_f_saco_187,subj28,a,saco, 
subj33_f_bate_245,subj33,a,bate, 
subj35_f_baso_56,subj35,a,baso, 
subj35_f_saca_141,subj35,a,saca, 
subj36_f_supe_118,subj36,u,supe, 
subj42_f_quita_243,subj42,i,quita, 
subj43_f_baso_99,subj43,a,baso, 
subj43_f_coro_293,subj43,o,coro, 
subj44_f_cura_58,subj44,u,cura
subj44_f_pura_168,subj44,u,pura
subj44_f_pura_171,subj44,u,pura
subj44_f_pura_90,subj44,u,pura
subj45_f_pica_92,subj45,i,pica,
subj45_f_pica_216,subj45,i,pica,
subj45_f_pica_238,subj45,i,pica, correct?
subj45_f_quito_167,subj45,i,quito, 
subj45_f_supo_170,subj45,u,supo, 
subj45_f_tusa_178,subj45,u,tusa,
subj45_f_vete_253,subj45,e,vete, 
subj45_f_viso_147,subj45,i,viso, 
subj51_f_buque_295,subj51,u,buque, 
