Filename,Subject,Vowel,Duration,Z_Duration
u_subj47_f_pura_174,subj47,u,0.17515054500699423,2.933019190189925
e_subj62_m_vete_186,subj62,e,0.21934164543034176,2.9579240566274865
e_subj15_m_seca_55,subj15,e,0.11112350637592668,-2.8799229687837133
e_subj79_m_seca_286,subj79,e,0.10250192252615306,2.513484205697565
e_subj25_f_seque_147,subj25,e,0.10624315102401168,-2.93617749967943
i_subj64_m_viso_152,subj64,i,0.1662716417798379,2.680655261840418
a_subj63_m_baso_265,subj63,a,0.2055594161147042,2.513668589711668
o_subj53_m_coro_196,subj53,o,0.19192450560194063,2.912172641648648
e_subj76_m_vete_423,subj76,e,0.16314573680866715,2.5601534901234704
i_subj79_m_quito_281,subj79,i,0.12959350496944352,2.684663277886376
i_subj57_m_viso_128,subj57,i,0.2166086170261906,2.7203526420429975
o_subj77_m_coro_203,subj77,o,0.22021923854676972,2.6686419706840936
o_subj79_m_coro_205,subj79,o,0.13562690675868225,2.771826535733693
a_subj53_m_vara_105,subj53,a,0.1795490201933433,2.563191015029292
a_subj39_f_baso_192,subj39,a,0.2822004879631038,3.2721610700507684
e_subj81_m_peca_39,subj81,e,0.16539011056321018,2.670710206091609
a_subj43_f_baso_251,subj43,a,0.2713206192867347,2.8253731018786863
a_subj11_m_bate_113,subj11,a,0.04486311235026505,-2.76892602239277
i_subj73_m_viso_91,subj73,i,0.21461418001505592,2.8333652967969214
o_subj81_m_bota_117,subj81,o,0.20488160395638888,2.6400978477901145
a_subj30_f_vara_215,subj30,a,0.20493718929861304,2.8878676059194905
a_subj68_m_saque_101,subj68,a,0.08689671350627179,-2.53809957542736
u_subj11_m_buque_167,subj11,u,0.08413439989595303,-2.530509012797492
i_subj41_f_viso_123,subj41,i,0.18639939390050983,2.8672363581975655
u_subj16_f_pura_104,subj16,u,0.22899497311242956,2.5959167709705846
a_subj2_f_bate_113,subj2,a,0.2399952902770025,2.7410406668451146
o_subj30_f_coro_238,subj30,o,0.16808483245858383,2.5135312853480243
a_subj22_f_vara_181,subj22,a,0.19428866037375203,2.7449218405944307
u_subj27_f_pura_230,subj27,u,0.23185139050590353,2.559134329408465
o_subj58_m_bote_68,subj58,o,0.174120344669484,2.84509301069157
i_subj5_f_quite_67,subj5,i,0.06695879380142741,-3.081944778560646
u_subj37_f_buque_166,subj37,u,0.0736579176081534,-2.675503142090039
i_subj15_m_quita_233,subj15,i,0.11749373835820053,-2.637951122838057
u_subj32_f_pura_70,subj32,u,0.2187715297032128,3.296124748843298
u_subj17_f_cura_217,subj17,u,0.19920001640689977,2.6420310959652573
a_subj27_f_vara_147,subj27,a,0.2405841414494262,2.578848622135839
o_subj15_m_coro_58,subj15,o,0.17360751603073654,2.5930341669320804
a_subj79_m_vara_111,subj79,a,0.16188624017001418,2.600235073520319
o_subj52_m_coro_176,subj52,o,0.16164863613018954,2.966223280484848
e_subj53_m_veto_182,subj53,e,0.15654476634525738,2.867884536730479
a_subj18_f_baso_290,subj18,a,0.22929613087748069,2.6772869905105083
u_subj41_f_pura_143,subj41,u,0.14441504357818646,2.6418315789795743
i_subj66_m_quito_162,subj66,i,0.15827440591748998,2.7660499120019173
