Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
subj10_f_quite_67,subj10,i,quite,NA,1156.6741523532658,2167.761178703068,3562.286192451658,4159.622274183118,0.01947518999813269
subj11_m_bate_113,subj11,a,bate,NA,614.1002424806169,1352.6965470982163,2730.74941847463,3353.9803197183537,0.01986311235026505
subj11_m_quita_333,subj11,i,quita,NA,273.0625167329069,2175.575932114346,2748.622003231493,3289.6186152993023,0.08064363900530225
subj11_m_seco_328,subj11,e,seco,NA,517.3003694123373,1738.755230087432,2806.500634056876,3333.602775095424,0.07939005701990709
subj11_m_supe_148,subj11,u,supe,119.42215959851146,619.3358922135458,2755.962914812421,3209.7711428803873,NA,0.09743190969214766
subj12_f_pisa_196,subj12,i,pisa,NA,271.44600142016554,2767.9676534739256,3281.0284363216088,4085.956707994326,0.09469455999320076
subj14_m_cura_259,subj14,u,cura,147.7875163588361,535.1016050402071,2166.267227338262,3680.3863405549855,NA,0.11201942220264982
subj16_f_bata_93,subj16,a,bata,NA,946.5684836206032,1501.0212909438403,2665.407365321408,2840.56464273586,0.13751065467364754
subj20_m_buque_110,subj20,u,buque,133.60390348703933,466.97760663075223,2287.098214008586,3153.2625947607435,NA,0.10046834569926943
subj20_m_pura_203,subj20,u,pura,167.8892587330202,488.238087856288,2514.483344583271,3259.8943022750527,NA,0.1352658791799115
subj20_m_toca_91,subj20,o,toca,137.13435183674432,739.9375088384425,2436.520507920928,3423.591672839084,NA,0.10243016132291416
subj24_m_pura_219,subj24,u,pura,142.26769752250033,629.6769050421457,2934.862780033995,3833.963358270254,NA,0.13949716979854543
subj25_f_cuco_144,subj25,u,cuco,NA,418.92529749569593,1816.7938296458017,2959.8647532953223,4048.378505818373,0.09102008687145258
subj25_f_quite_137,subj25,i,quite,NA,345.58142107596984,2671.411607310996,3167.2238065104257,4531.615252123017,0.04476856225443271
subj28_f_pura_71,subj28,u,pura,195.0430468313921,459.98451070955184,2768.8909510360986,4127.094983451357,NA,0.1579938141555317
subj28_f_vara_136,subj28,a,vara,187.055391469664,1118.0658714937106,2434.3302386292908,3745.202164640903,NA,0.1823359416480912
subj31_m_pica_364,subj31,i,pica,NA,304.70544096983963,2125.6140563865665,2969.4241812019573,3594.702302009586,0.08810014687810508
subj36_f_bate_63,subj36,a,bate,249.63793771021972,942.8732175563356,1644.4745018017973,2787.8418214049116,NA,0.1491848439530301
subj42_f_quite_76,subj42,i,quite,NA,1605.329957735566,3060.2933342476163,3707.7725411462407,4766.734016982743,0.10926170605807783
subj52_m_bate_103,subj52,a,bate,NA,680.3689132350936,1324.302185043052,2649.3920595091677,3649.404486237189,0.10277671978478509
subj52_m_beta_62,subj52,e,beta,NA,472.64431971572014,1799.2361152805297,2538.8782750233295,3832.395024974858,0.08380987335613099
subj52_m_pica_173,subj52,i,pica,NA,319.4829643696778,2256.848574036165,2892.5088479900423,4007.7247319979265,0.06879690711184594
subj52_m_pico_127,subj52,i,pico,NA,307.2111541849758,2266.9248713261727,2840.7128323034703,3999.289410721723,0.08071728754764251
subj52_m_saca_106,subj52,a,saca,NA,674.6814381212926,1359.6495894444638,2473.0639026247045,3855.656777870368,0.0847069142975414
subj52_m_seca_94,subj52,e,seca,NA,506.50156965586245,1682.2301165755075,2354.360613239195,3863.936145792897,0.0916800243050062
subj52_m_tusa_291,subj52,u,tusa,NA,349.2506968863483,1952.761974330533,3331.3264066966967,4268.803883688226,0.0508257471353204
subj52_m_veto_149,subj52,e,veto,NA,508.2889187813765,1833.7868226325843,2684.275743391336,3986.48312014927,0.07716569323551425
subj52_m_voto_118,subj52,o,voto,NA,583.9058570544861,730.0639931026262,3023.7965910249904,3701.7433387160336,0.08665207360765237
subj53_m_bota_154,subj53,o,bota,104.08455284521185,646.6974850411373,2934.247678718129,3643.920691604157,NA,0.06735168974398675
subj53_m_pica_185,subj53,i,pica,NA,311.81785550784554,2300.8079288729928,3124.42674590517,4009.8309902299497,0.05659650925139203
subj53_m_saco_198,subj53,a,saco,NA,746.2251908584121,1343.4398394393606,3143.0151580046263,3931.4495801953663,0.06816071571049065
subj54_m_pico_128,subj54,i,pico,NA,332.58427288136954,2531.233257250314,3283.199067385852,3858.9367911673935,0.05048091105041408
subj54_m_quita_240,subj54,i,quita,NA,294.93083586962535,2499.116436052957,3039.5616795077376,3859.9979153673394,0.04817554527679135
subj56_m_pico_220,subj56,i,pico,NA,302.84781428607255,2339.8791694177125,3132.0135130554777,3543.7785960373567,0.06699832339768363
subj56_m_saca_124,subj56,a,saca,NA,657.9521701960522,1634.0500531458656,2392.92420953119,3508.830218400488,0.05772509636807399
subj56_m_toque_115,subj56,o,toque,NA,516.4667036570011,916.0765346347108,2951.7033876955948,3551.922398599767,0.03833519079390157
subj57_m_baso_63,subj57,a,baso,NA,695.1875703014118,1340.2830661683,2552.598509295912,3702.5139673299855,0.0946485786844704
subj57_m_pica_57,subj57,i,pica,NA,234.4398953695473,2281.0957998554063,2804.5646858063783,3304.281775482288,0.07905451769359217
subj57_m_pico_60,subj57,i,pico,NA,288.4843941578928,2269.660835196124,2798.539887841949,3296.9964104033097,0.05652980465625745
subj57_m_pisa_80,subj57,i,pisa,NA,176.57124394853287,2262.554752995843,2875.8908928455508,3403.409634973656,0.06490669883916667
subj57_m_pite_116,subj57,i,pite,NA,244.90901223056403,2216.0596231848326,2715.928875747008,3314.937339308559,0.07661836090066743
subj57_m_pite_145,subj57,i,pite,NA,230.0457659228808,2180.849476061068,2824.125076534018,3400.1965603548615,0.09312282646862968
subj57_m_puso_140,subj57,u,puso,NA,409.68059501727583,2195.143123721357,3213.5239602086026,4470.439666196246,0.07146194493410007
subj57_m_quite_185,subj57,i,quite,NA,286.9808703645913,2174.2834695547012,2929.868115637585,3420.8287699659013,0.04301121897009352
subj57_m_viso_128,subj57,i,viso,NA,332.5320736135461,2168.9024411308737,2634.6870494351065,3557.1227715018767,0.1916086170261906
subj58_m_baso_59,subj58,a,baso,NA,728.2295159476538,2352.317918888936,3620.859493497277,4944.533773586577,0.10733803371455508
