Filename,Subject,Vowel,F0,Z_F0
subj10_f_tusa_60,subj10,u,182.84936728864344,-2.9267064256752287
subj11_m_supe_267,subj11,u,133.9110343778374,2.8638341658633752
subj12_f_cura_155,subj12,u,243.3691822862916,2.8914489378855652
subj13_f_saco_269,subj13,a,107.78464735947593,-2.9754031916442827
subj14_m_saco_273,subj14,a,150.76425964454833,2.5217582569448274
subj16_f_saque_339,subj16,a,124.69703763722032,-2.9461636131238693
subj16_f_toque_204,subj16,o,221.02873004951397,-2.6346527122103645
subj17_f_saco_89,subj17,a,103.80702403979696,-3.0920584990669413
subj17_f_seque_260,subj17,e,117.0098869659593,-2.5139245156952486
subj18_f_pica_320,subj18,i,117.3219100239256,-3.2544288703924042
subj18_f_seco_267,subj18,e,109.57964818512752,-3.4752896899024366
subj18_f_supo_251,subj18,u,122.04208965004209,-2.549478795226815
subj19_f_saco_258,subj19,a,89.76110843439785,-2.798672742307445
subj1_m_coro_169,subj1,o,132.0922918894498,2.9573289002211083
subj21_f_quita_43,subj21,i,164.22778947889884,-2.9919566500148895
subj22_f_cuco_186,subj22,u,275.4415512665143,2.930470432488498
subj22_f_vato_234,subj22,a,176.62676615500797,-2.6028706749578228
subj24_m_beta_50,subj24,e,114.80119418515002,-2.5565856566866865
subj24_m_toco_221,subj24,o,139.99660750179595,2.6806583115945295
subj25_f_toca_253,subj25,o,113.59255238840764,-3.615200317202832
subj26_f_pite_218,subj26,i,221.74607207617555,2.741859507007636
subj26_f_vete_239,subj26,e,101.8943386517986,-3.525073633452404
subj27_f_coro_213,subj27,o,203.58909217281007,2.5953784966490097
subj27_f_pisa_37,subj27,i,237.16077142004295,2.6558361281337293
subj27_f_pura_46,subj27,u,229.028260879388,2.501697595901001
subj27_f_seca_43,subj27,e,220.893852808846,2.7847398017463125
subj28_f_beta_111,subj28,e,94.56502417712151,-3.664887917349634
subj29_m_buque_100,subj29,u,135.0379210279496,-2.627525099760533
subj2_f_saco_72,subj2,a,98.50284588735288,-2.9193741315300823
subj2_f_supe_125,subj2,u,110.25111374069223,-3.381320286331261
subj2_f_vete_118,subj2,e,99.15185380943622,-3.3616020496139005
subj30_f_pica_44,subj30,i,236.16317718731295,2.699562269128642
subj30_f_seca_47,subj30,e,228.21225901438217,2.823341393651168
subj31_m_cosa_243,subj31,o,150.59625115301296,2.538250333803517
subj33_f_buque_78,subj33,u,157.098181391017,-3.5442562680477048
subj33_f_seca_219,subj33,e,248.96870556921627,2.997552649456095
subj34_f_seso_35,subj34,e,97.50404511478892,-2.582138444653217
subj35_f_coro_186,subj35,o,250.4940456122918,2.790341643241617
subj36_f_buque_35,subj36,u,253.54650639916468,-2.617585756628982
subj37_f_bota_139,subj37,o,106.0613653809325,-3.59306886165799
subj37_f_saque_245,subj37,a,104.50868998032118,-2.93152486546644
subj37_f_vete_105,subj37,e,185.57335424132168,-2.86807125583015
subj38_f_cosa_176,subj38,o,296.99824916785474,3.4486174300153056
subj38_f_saca_239,subj38,a,269.8570422014394,2.8836418805249227
subj39_f_saco_119,subj39,a,117.91607400437957,-3.028542767817203
subj40_f_buque_150,subj40,u,183.0011695676133,-2.632257899675319
subj42_f_quite_338,subj42,i,100.6531763163612,-3.064004683363983
subj42_f_veto_309,subj42,e,92.22716444779168,-3.602511769285561
subj42_f_voto_130,subj42,o,103.45940639447656,-3.39294477521579
subj43_f_cosa_194,subj43,o,251.67212416888253,2.703118249245164
subj45_f_quite_263,subj45,i,264.065026835184,2.9720332559514686
subj46_f_peca_72,subj46,e,94.8801320165276,-3.5598695857707217
subj46_f_toca_107,subj46,o,218.6274002219656,2.9846724453006495
subj47_f_quito_37,subj47,i,466.683732801517,3.7110469565257924
subj48_f_bote_51,subj48,o,183.77969751320052,-2.5686027069004553
subj48_f_cuco_193,subj48,u,105.40175555080828,-3.498983685329327
subj49_f_coro_330,subj49,o,107.58023644370044,-3.3730918339127887
subj49_f_pica_222,subj49,i,111.0077928729246,-3.5374073212224983
subj49_f_saca_202,subj49,a,106.71985465674322,-2.7399109172039053
subj49_f_seque_226,subj49,e,108.83122335942286,-3.246769341687929
subj49_f_supe_173,subj49,u,156.4957045524697,-3.53028350343535
subj4_f_saque_211,subj4,a,106.22277112568086,-2.930496549475074
subj50_f_quito_170,subj50,i,103.34435303466168,-3.1619957480054968
subj50_f_saca_40,subj50,a,212.24117464334395,2.524493112498997
subj51_f_coro_267,subj51,o,111.1417948425564,-3.6042084680114685
subj51_f_quito_260,subj51,i,119.84684477186298,-3.259271922590747
subj51_f_seco_151,subj51,e,116.89205430730529,-2.853081679891679
subj52_m_toco_266,subj52,o,470.6177897796451,3.6126090068900596
subj53_m_cosa_210,subj53,o,161.22350665830473,2.925903125594164
subj53_m_cura_189,subj53,u,165.74340646893558,2.9064125090186006
subj53_m_pisa_108,subj53,i,148.37223423874588,2.6396110248044753
subj55_m_toco_242,subj55,o,124.2238952589997,2.5535472770494927
subj56_m_bate_161,subj56,a,119.07501283572574,2.7316231358855996
subj56_m_toco_205,subj56,o,484.63275085189696,3.6093726386700133
subj59_m_bote_194,subj59,o,228.91348514875185,3.36053216419246
subj5_f_coro_154,subj5,o,95.94860171282744,-3.41206513996877
subj5_f_veto_162,subj5,e,96.54713818845458,-3.1076894737324237
subj60_m_supo_248,subj60,u,75.77462094457802,-3.514029017900402
subj61_m_peca_68,subj61,e,109.10066058316664,-2.510061706438151
