Filename,Subject,Vowel,F0,Z_F0
i_subj26_f_pica_227,subj26,i,103.29224331555623,-3.613824242177375
e_subj79_m_seca_286,subj79,e,0,-3.3075113033920833
i_subj65_m_viso_340,subj65,i,0,-2.8080295698958233
o_subj55_m_toco_242,subj55,o,124.1755468067934,2.5498578522576008
a_subj41_f_saque_111,subj41,a,213.26710420372555,3.1813471654877707
e_subj16_f_seso_154,subj16,e,84.29997489642628,-2.679405939323563
o_subj35_f_coro_186,subj35,o,250.57363850226488,2.5948154840067965
u_subj29_m_buque_100,subj29,u,135.0726463959638,-2.5953777189813136
e_subj52_m_veto_149,subj52,e,518.652289575876,2.5757978618224033
a_subj48_f_baso_127,subj48,a,95.79153704518836,-2.5742555227630928
o_subj1_m_coro_169,subj1,o,132.4176624978066,2.974060194669312
a_subj81_m_baso_74,subj81,a,0,-3.539623316098999
i_subj76_m_quite_179,subj76,i,77.30773661796569,-3.5059452386200904
i_subj11_m_quita_333,subj11,i,129.96812697663674,2.789397522469689
o_subj59_m_toque_291,subj59,o,248.1694079509171,2.560074977031507
o_subj46_f_toca_107,subj46,o,218.57581126197212,3.0809268917932306
a_subj78_m_saco_184,subj78,a,0,-3.3982002988216626
i_subj53_m_pica_185,subj53,i,0,-3.4436808933841343
a_subj5_f_baso_155,subj5,a,77.75489401238092,-3.201324195313863
o_subj18_f_toca_77,subj18,o,239.2992931161456,2.513872940934003
i_subj30_f_pica_44,subj30,i,236.2436316121672,2.6041994139106763
i_subj25_f_quite_137,subj25,i,0,-3.0778285013533235
o_subj39_f_cosa_93,subj39,o,123.6469448904928,-3.4858807070793505
i_subj57_m_pico_60,subj57,i,297.63791548186106,2.5889953420388934
u_subj40_f_tusa_119,subj40,u,106.45689409037604,-3.276191195135545
u_subj33_f_buque_78,subj33,u,117.1702059121809,-3.65629419406623
u_subj36_f_buque_35,subj36,u,253.58458573348904,-2.6728674917839683
e_subj11_m_seso_319,subj11,e,462.3300721853498,3.745390504187563
u_subj41_f_puso_255,subj41,u,107.9321292036522,-3.5536884912212807
