Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
a_subj1_m_baso_65,subj1,m,a,baso,95.4210222478644,588.6745568973197,657.4177641027951,669.3033416900186,676.2304392493855,692.2826207622959,681.7659129871115,661.956317675418,638.0558693534039,660.5569833784094,1330.1088017359546,1323.1227251714347,1311.4015760953596,1320.427863047839,1335.2158285886208,1347.7415367973997,1353.964628117502,1398.1818285561071,1537.0715981188346,2488.0277118460813,2486.023092847588,2584.457524246816,2687.7606276082693,2712.843083722741,2718.675176539556,2501.518460261489,2741.2958039667083,2747.6373654990075,3243.853477810419,0.1562710815262505
e_subj1_m_seca_248,subj1,m,e,seca,115.12573216461978,524.5117895146179,536.2115475896794,536.3565192175108,545.7588626559846,551.0494407513507,566.1799177197272,561.221257182936,558.5749879603455,532.0603334842534,1809.8491979419591,1810.9795199345167,1799.623435103045,1818.001652699042,1853.7538433612413,1856.412778206967,1863.5369218847416,1873.487926304825,1875.5536638032108,2818.717823549957,2743.6926145660723,2633.7939691652978,2647.24880363425,2513.9578225283344,2532.391234593587,2593.2481039564886,2568.2868945805776,2461.3332177848133,4007.203353724324,0.0977006079900718
o_subj1_m_toque_190,subj1,m,o,toque,121.40341572466976,531.6161510913123,539.5482452479131,537.2539356516315,527.2771628845902,529.5611587348851,521.8497379048177,518.9171721685026,515.8209887461668,516.686085938763,1197.1101672389034,1186.9566903674709,1157.2173534136748,1120.1355112842084,1103.7121331035323,1091.9154615830134,1087.8783233480158,1080.1960781356445,1066.16599366462,2844.236592050626,2872.503422276237,2887.223003867607,2735.461153533849,2513.265009717858,2610.7736263396714,2684.936781275111,2654.325081044519,2696.88476754703,3722.643693662308,0.1090622890427766
e_subj11_m_seque_27,subj11,m,e,seque,114.42199355429454,455.2808508426809,472.7055016054761,484.8065861237952,480.0087536124008,475.9378629631228,470.1249203906374,455.2219220761549,430.6959268509896,405.35255039145005,1598.915163597106,1612.408374829263,1647.830688089676,1659.929693792865,1683.4838814367822,1714.5375869949412,1750.0156382715609,1789.548655612228,1878.049436231956,2482.401575690912,2630.407415854168,2416.7202419832684,2427.758121026384,2398.642138839828,2406.4584003700943,2419.298657809089,2371.9618071391283,2393.9462342400057,2898.155664479556,0.1280784967036275
o_subj12_f_toca_188,subj12,f,o,toca,208.0819091807636,517.7905967765224,519.9260869548029,517.2546277274122,517.7028687862926,515.4745782212918,491.0353892940065,464.3320919999654,443.1004875451501,414.5680393725141,1262.4127044546665,1221.656574052114,1203.589540740675,1197.8031241305853,1180.9682636830653,1128.9047093012823,1049.9208835320203,1028.8205479074584,1024.9683808421628,3018.5495498411588,2901.756447868853,2879.6322468621047,3015.308676030039,3019.6094058343606,2960.429269600502,2868.42175267994,2908.483807712635,3005.530047285873,4097.008548495617,0.1305077172415792
u_subj12_f_cuco_60,subj12,f,u,cuco,214.06239584617117,273.1446754708831,291.9172100871204,289.5528137879758,328.35636587318214,333.75019420134254,344.49539740515064,321.91680990097814,252.95120684019608,227.9717751764829,471.9330764701621,449.40974740797617,439.1137428880696,595.7197225093201,749.7605545738444,801.5829749444742,768.306127301879,523.3930768912377,578.3106521349005,935.923479122042,905.9058421999968,907.4096360693364,1605.6514247272785,1527.566887675379,1974.3995188757967,1824.9975034776303,1236.849824966076,1480.377155852653,2423.5323252365456,0.1309506676371313
o_subj14_m_bota_205,subj14,m,o,bota,126.70157957017824,472.5076226437435,487.4070147398408,499.6826616603356,505.7545014981857,508.5619561314856,513.3159954709012,521.0429743497656,518.0558840293411,507.5322938898225,767.6152458027016,788.8305005927316,815.3999284764377,828.8684231160139,850.3740799078194,864.055650774526,891.1115669630659,901.4261074575064,931.3958733671394,2411.5804091245413,2438.910555020664,2474.24308921483,2586.564564140912,2764.875224254468,2401.1071599328257,2358.419284704108,2402.731634380586,2434.916980368469,3095.3854091226717,0.1366485574109447
u_subj14_m_cuco_243,subj14,m,u,cuco,141.13618974835444,307.5333823779315,304.1585125687924,303.2208570479074,304.74052824483914,298.1979461251529,295.2815957551607,289.3119396303056,272.0534306037721,175.9056581594834,621.3595979023455,632.5622894350921,609.1610072360277,661.8980083475692,741.3695266040032,616.0198796271648,693.5456151885389,721.5917308283307,723.158268631803,865.117522779344,864.6012108370777,836.6420297513442,804.880282771538,845.45032833124,717.8750352638689,1592.4671960879482,1746.456092892044,1487.9892717395014,2475.40989154662,0.1460264849736404
u_subj14_m_supo_192,subj14,m,u,supo,149.64723877597277,302.5368054624955,299.0668743033665,293.55828333564085,298.76343665339607,301.5595381974784,304.3302484544804,303.2642537531672,279.5728767984201,186.8184130765144,1029.739110911813,961.158918501828,889.4467448984111,859.5417777101551,792.3204853929853,756.1163329890619,710.8283441642074,660.5133482021112,696.5046646849678,2398.7237642465007,2415.8283329677106,2407.9181118208367,2443.218516360227,2520.4411667806908,2441.5117484698903,2438.132302833788,1617.7961075734752,1767.5120944494588,3143.041011368084,0.168739252415628
u_subj15_m_buque_163,subj15,m,u,buque,174.86809944945094,384.670661929198,371.8845775958065,370.6447592389055,369.9003627753936,366.8193172205544,363.7882844480098,360.9378773082531,350.0735439883802,296.9535813621796,905.9164103456684,925.1074571188212,932.5559837570988,916.0158329482904,904.0612516337076,882.350155375469,872.6850091736912,870.3956073542541,849.4353172736091,2693.6664473452984,2692.528484939747,2688.5534395794107,2676.554653896401,2681.7981939138444,2672.4525682172466,2669.710750720188,2644.7775300668254,2616.808812667165,3426.204328678625,0.1746303096598126
