Filename,Subject,Gender,Vowel,Word,Source,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_6500.csv,122.95431014900000,340.55928273420100,341.4065545592310,339.8751825857130,334.89136487525800,334.39841784667600,342.6362070252900,343.37765562318500,318.4306774473110,295.2800011639050,1755.4288463202300,1723.958475150320,1695.8421995642100,1719.8915390829500,1786.4709981602900,1922.3986728737300,1754.2019643372100,1672.8829944049000,1656.6580400213700,2384.0947551175600,2395.948801829360,2421.228177351980,2439.2452423521800,2432.5489147550800,2402.729355610720,2415.03998702336,2438.1292783662700,2428.292050947900,3230.0942687226500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_6500.csv,99.82095226194480,295.43785573820200,2181.155949513870,2181.155949513870,2181.155949513870,2934.834794114390,2934.834794114390,2934.834794114390,2934.834794114390,3671.403672617210,286.69899666956200,2174.253759269080,2174.253759269080,2174.253759269080,2907.2034761026600,2907.2034761026600,2907.2034761026600,2907.2034761026600,3664.6969804896000,275.3119126996620,2163.423677181060,2163.423677181060,2163.423677181060,2868.2096167222900,2868.2096167222900,2868.2096167222900,2868.2096167222900,3652.0552005965800,2844.6234742220700,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_5500.csv,122.95431014900000,3113.337348007590,3153.345710252540,3265.541474800790,3295.338888461260,3251.5571948437400,3168.6322424144,3187.8476308345100,3122.694543090170,3075.6637252685900,3669.430176493600,3664.4231469969900,3717.7235211077100,3722.407595099130,3569.366114753630,3605.57513843321,3641.6067348622300,3772.690211821090,3820.300327255650,4951.563395809500,5000.435521402470,5079.177930071220,4916.754878202510,4729.278020405410,4770.595899025900,4795.027721625970,4831.462060493130,4807.476576924100,6124.9440972616200,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_5500.csv,99.82095226194480,284.6240836716940,278.78473875721000,278.78473875721000,278.78473875721000,270.5761053207870,270.5761053207870,270.5761053207870,270.5761053207870,264.20054020292500,2373.636091693430,2369.4976662493700,2369.4976662493700,2369.4976662493700,2391.2930287203200,2391.2930287203200,2391.2930287203200,2391.2930287203200,2417.260263048340,3557.6577875644200,3558.456797228630,3558.456797228630,3558.456797228630,3518.245615943090,3518.245615943090,3518.245615943090,3518.245615943090,3379.721151887150,3789.095914882930,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_3000.csv,122.95431014900000,341.0167401113140,341.94788455184500,341.84729954188300,342.1099017831000,345.2342694480470,350.0840760313550,352.2946772512350,337.0504403452290,307.083862624505,1652.317514564190,1635.558472232820,1615.079226115500,1569.336618835350,1556.8540768361500,1624.0133549237800,1613.0763403198300,1622.0316873184300,1630.8363390908100,2374.954294071450,2381.9423717523300,2400.892201745270,2410.1668072218600,2404.243066318480,2391.10431764371,2395.8816139995700,2401.714913033410,2403.822934823380,3061.180079988890,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_3000.csv,99.82095226194480,89.08876887306610,302.7429209887420,302.7429209887420,302.7429209887420,2159.523739190240,2159.523739190240,2159.523739190240,2159.523739190240,2592.25573528171,298.4399361778800,1681.3735300751600,1681.3735300751600,1681.3735300751600,2160.572760355950,2160.572760355950,2160.572760355950,2160.572760355950,2905.5511024836800,292.1938674719380,1621.8400857955700,1621.8400857955700,1621.8400857955700,2153.7584403414500,2153.7584403414500,2153.7584403414500,2153.7584403414500,2849.5291005610300,2140.056999762670,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_4500.csv,122.95431014900000,340.55928273420100,341.4065545592310,339.8751825857130,334.89136487525800,334.39841784667600,342.6362070252900,343.37765562318500,318.4306774473110,295.2800011639050,1755.4288463202300,1723.958475150320,1695.8421995642100,1719.8915390829500,1786.4709981602900,1922.3986728737300,1754.2019643372100,1672.8829944049000,1656.6580400213700,2384.0947551175600,2395.948801829360,2421.228177351980,2439.2452423521800,2432.5489147550800,2402.729355610720,2415.03998702336,2438.1292783662700,2428.292050947900,3230.0942687226500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_4500.csv,99.82095226194480,273.61642692655700,268.41841984648500,268.41841984648500,268.41841984648500,264.5990848771680,264.5990848771680,264.5990848771680,264.5990848771680,260.3114184323340,420.1414258654090,422.0388550151060,422.0388550151060,422.0388550151060,418.85753530939900,418.85753530939900,418.85753530939900,418.85753530939900,431.4378912424700,1742.981463560730,1738.403734934830,1738.403734934830,1738.403734934830,1762.5457282141200,1762.5457282141200,1762.5457282141200,1762.5457282141200,1805.8782175508200,,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_3500.csv,122.95431014900000,340.97719189240200,341.9314907642830,341.5748949808040,339.9250445278020,341.19517734485600,346.95274556794200,349.12334547268300,329.7093977751790,300.7156338309720,1693.8307257290400,1676.7276095621900,1649.842003048780,1632.5950622545900,1654.325123793630,1751.8609755588900,1676.0311566837000,1647.7475445488100,1645.8033586883100,2378.282762264380,2388.6140849160400,2409.007862521810,2424.079254275290,2421.313775744150,2400.86441353939,2405.9205755587700,2419.5311031483000,2417.525181356310,3134.5538125971800,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_3500.csv,99.82095226194480,282.8357687275600,2207.381809444280,2207.381809444280,2207.381809444280,3008.0833471443200,3008.0833471443200,3008.0833471443200,3008.0833471443200,3703.8340564303700,276.6764033371820,2195.2141395523300,2195.2141395523300,2195.2141395523300,2962.179987313410,2962.179987313410,2962.179987313410,2962.179987313410,3694.476403363510,268.546190554341,2173.222424678690,2173.222424678690,2173.222424678690,2894.524737251530,2894.524737251530,2894.524737251530,2894.524737251530,3682.825168877090,2851.92221566142,0.0578439389813297
