Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
e_subj66_m_seso_133,subj66,m,e,seso,100.7049416233218,347.57453730529005,355.9544957217269,358.21664810816526,343.62714175207896,319.17804406657103,312.27257891412387,319.3122463687108,321.34769514828815,302.777752930299,1740.233393828637,1747.161785523216,1745.5129738081525,1745.5718710209421,1740.8797668452198,1738.8134850592614,1731.0471864331178,1729.4023038083958,1711.743061310957,2577.4536414901045,2558.532756393736,2546.271958728793,2549.811615435882,2545.833906151859,2535.7319901230276,2526.5982492143853,2533.4450072114337,2520.859751227653,3601.658669746578,0.10766746690406989
u_subj53_m_buque_56,subj53,m,u,buque,120.7990565934077,652.6642773397925,629.1789444504809,576.3429299932569,634.4629149495039,609.1116688427787,539.2614034807794,520.0838326207819,576.7473147577186,704.7688307896103,2683.6712239242133,2951.2993714682625,2621.903153279109,2569.5682957869135,2527.2462011118023,2595.4217313116137,2717.4993497073933,2609.42604477903,2648.2695549114055,3515.6103931912126,3662.800516096903,3625.408124481737,3492.136042970788,3500.431524806895,3482.8871247997868,3386.9166862254424,3380.7377665504155,3507.0418428889393,4355.79235908706,0.13248274897910192
e_subj68_m_seque_280,subj68,m,e,seque,105.31797102543155,451.9614805620403,438.73481318446255,414.2691130444727,402.6257546880006,414.6257061306339,386.2726893001263,373.5061525010874,346.20774580000307,880.7995795303889,2062.2237770594097,2069.346182335481,2144.007750842489,2188.7489106351436,2178.461510709288,2208.6415936507465,2378.392008640757,2329.1735775693733,2404.642266314471,2610.5623283740324,2639.9479374988864,2603.443037569875,2732.432597201119,2460.401988282107,3237.132931937958,3816.700621337529,3891.3136569960375,3683.753498556189,3851.189689339999,0.10640391527513202
a_subj62_m_bate_272,subj62,m,a,bate,155.72629478452458,718.0768522237502,763.5005024421429,790.8334227054754,790.960414750307,788.1443682585227,760.5942484878809,743.2656113678268,781.0392243533377,741.745029961594,1281.848120500389,1288.5749121764288,1287.6985283441143,1264.2245591109543,1326.3114547958346,1374.2575546654282,1265.392155845238,2414.0117691793157,2043.265279088023,2575.028668144206,2592.3848362270965,2513.9353068901196,2504.859935207545,2495.2528577418357,2528.493986861133,2613.8772841372142,2708.8095900356097,2704.325901837944,3572.5380709411984,0.1745929725066958
e_subj58_m_peca_89,subj58,m,e,peca,0.0,510.75056855195174,439.5104045736545,454.4560828016754,470.1010598802247,454.44436487257434,427.7428130576417,403.4419110536694,377.7873004511272,384.02761349870826,1876.596129796473,1869.9156828691239,1967.557229416898,1935.2741977813116,1889.068134180723,1911.867350245894,1927.272175285936,1929.8526963065551,1951.2570944408253,3000.2464942905917,3038.0336628114987,2737.5600798889636,2896.635884249415,3048.489465304998,3249.86899343106,3322.080716793418,3344.215689949021,3470.529339693216,4377.770730324531,0.10905916427516046
e_subj76_m_beta_266,subj76,m,e,beta,130.84055250688607,472.04157986374844,481.19704020368323,489.9121691392059,497.8219548031808,508.25184811186045,512.08208474402,514.6545178960704,505.4361058047805,486.21625951622406,1781.04660946556,1723.173051339631,1708.873040213606,1724.0117371404194,1748.7789722307075,1716.6364078774382,1685.0220701537203,1700.7057697749676,1702.5796658195559,2627.8746086028796,2424.6840033067583,2370.844612288988,2346.815478681827,2469.5763821425166,2426.9684928862307,2421.369512716596,2435.085310710497,2459.4537495113823,3618.436922651076,0.1285309894226657
o_subj45_f_toca_210,subj45,f,o,toca,203.70101500687903,522.8998503214877,531.6944524101091,526.4771626524786,520.5285933591651,521.2285340288515,514.2439770234371,487.7944252759745,463.49205251655576,450.0585004074802,1377.3347938580498,1226.0184016454293,1195.957720102722,1181.8217689891123,1140.2503482432658,1006.7538471486729,988.3431609974248,1001.2858816217673,1006.857727986091,2794.3381701656317,2783.3639752545255,2787.0524727106895,2799.3124170575143,2827.9091728970075,2850.2762650933314,2889.0545979147855,3054.0516229963528,3101.5077883840704,3909.0285114718363,0.14048367957854568
a_subj78_m_bata_91,subj78,m,a,bata,125.16919767102458,679.7661468093398,693.7156195651514,698.5145744803267,703.9250819766148,711.7965046721532,708.9670520896602,705.4494201180067,693.9120746887772,667.6901524115794,1524.992862729964,1475.006040968967,1482.0792944547002,1508.0714633585233,1500.400141996906,1481.4701171823865,1468.1409500504785,1450.2543009791207,1415.760245087577,2507.0981712349035,2546.2280620519264,2564.49124126131,2593.615343930169,2634.9123779028164,2691.2885364150948,2788.565833350935,2884.91971793455,2833.448593037161,3913.8029984392774,0.09657375091355788
a_subj50_f_saque_77,subj50,f,a,saque,186.16398720868617,792.7016114519158,840.6413892266434,830.5350382895799,725.1836109391738,598.7910972064642,510.7877304549403,541.3319800843817,420.65120372860116,490.4418945038688,1763.095164956042,1760.5592088944684,1768.1474084968395,1736.3803454538076,1721.318974762952,1731.0106110768231,1682.879399580584,1692.1755932915876,1668.8852668315003,2970.3957601236943,2915.008683430303,2868.2621171993114,2606.085931319987,2621.266752619389,2689.78575535963,2709.8491341430627,2835.032977772092,2952.5414603458416,3957.909764895273,0.12851961139495813
u_subj36_f_supo_235,subj36,f,u,supo,290.1573322038182,370.9805048767766,390.3886175065686,407.7078457856299,430.4003596232254,427.2834475081507,364.108902465573,338.66690020473106,330.54610583065954,271.824431401267,1663.5958237791515,1455.267032444022,1221.1871225637751,939.6096746760971,811.0976475133644,847.6758830924587,865.7526212202664,933.3006503217224,1103.01311518608,2774.3733547755,2778.868442175608,2806.147207258972,2819.5468441528747,2834.52426584413,2848.756796041426,2875.8452101782286,2814.580129944872,2800.78553723869,4041.294551636344,0.14066140453720666
o_subj49_f_toco_233,subj49,f,o,toco,217.74527674238473,427.86357621299777,424.22117713009436,427.5373001517544,428.2652887315793,420.79576660259363,415.27912893940135,410.5633522252308,398.4662139349504,392.6276936879958,1165.5648212508481,1150.6498700522898,1147.2632782085084,1143.591209336589,1110.7404696429242,1052.4595209464223,1034.3640544971304,1038.5929820795043,1044.8249423854556,3063.4232528912726,3059.5163730817767,3078.737364056709,3096.17680456166,3096.113842406122,3069.692982790658,3062.442116956423,3060.277807203716,3055.4843778631634,3872.702682188506,0.08323794477313981
a_subj3_m_saco_204,subj3,m,a,saco,114.06372611225261,676.4335450363994,727.005690003557,750.9894570221314,775.4510198926538,778.101186217714,766.6730895337985,744.6487314253083,728.5141508422339,686.8564896047662,1504.027759816922,1506.9298341422475,1502.2287544670683,1506.2515595224584,1511.4413313254188,1507.5941321890905,1512.7782583835751,1497.168981710469,1540.330877939683,2701.859477189431,2615.200852749646,2502.2071228827617,2501.4532648491127,2527.2365935327384,2562.331888128706,2586.9430547804322,2697.6157760986953,2526.5602772630514,3565.0097105544564,0.12860790369830397
i_subj14_m_viso_140,subj14,m,i,viso,132.20996814325596,276.41767480647883,271.32794278740886,267.61573490911485,268.0737763427415,268.5848336506812,271.1781673031039,276.124016640899,281.9222439095774,285.70725809039584,2115.3527660959194,2132.502596025769,2146.6930209954808,2154.340345704476,2144.936897827453,2139.350577640367,2177.1895409413028,2139.9739441460665,2114.294385654245,2705.6432431843627,2742.0821698727173,2805.32535434989,2806.3599167811963,2709.6076020768255,2618.677887739225,2769.9353823269603,2579.9097737581537,2590.8920448397157,3680.6899543002446,0.1358589434843168
o_subj25_f_toque_273,subj25,f,o,toque,211.5660409752028,542.6247554803102,545.78096085767,538.2799955660037,546.1659745300564,541.0759973254808,530.740005859453,516.4770451530779,562.8440984383142,536.0712148753008,1101.9953955537069,979.450701197849,989.09270486086,1001.4167821406652,969.9882732112189,906.6267744634969,837.8565676582534,712.3824644461829,545.2693727173717,2801.9151865716676,2764.6984152156215,2771.2116128675552,2689.1065262574016,2734.69681111499,2897.304141879132,2947.6475072610247,2907.0944400512103,2920.3282759852577,3860.5084122020903,0.14993193497823543
i_subj41_f_quite_73,subj41,f,i,quite,206.07118391159798,517.3962372905711,515.0962608021787,433.577155304006,456.18247358952,415.57853879093676,383.2084392229379,359.61021766374176,341.64723714856603,305.6313290693233,2655.9005382241426,2623.5756585131717,2596.6199027681746,2503.100602319696,2578.113027287351,2558.4564722750706,2584.2608683236654,2644.4758094839835,2747.5639207370295,4286.514224905568,4184.658421755793,4245.93312700349,4216.492225636347,4189.933934073168,4215.505331214529,3686.6689190566844,3790.974265995106,3999.53222633173,4944.854231471088,0.13634987673521834
