Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
e_subj66_m_seso_133,subj66,m,e,seso,100.7049416233218,347.57453730529005,355.9544957217269,358.21664810816526,343.62714175207896,319.17804406657103,312.27257891412387,319.3122463687108,321.34769514828815,302.777752930299,1740.233393828637,1747.161785523216,1745.5129738081525,1745.5718710209421,1740.8797668452198,1738.8134850592614,1731.0471864331178,1729.4023038083958,1711.743061310957,2577.4536414901045,2558.532756393736,2546.271958728793,2549.811615435882,2545.833906151859,2535.7319901230276,2526.5982492143853,2533.4450072114337,2520.859751227653,3601.658669746578,0.10766746690406989
u_subj53_m_buque_56,subj53,m,u,buque,120.7990565934077,652.4567541633601,630.4510357200164,575.0773023221611,632.6177703280654,603.2997617751786,519.1692285472272,508.98982477760916,566.466296437284,705.4508438591398,2688.81282702825,2900.370433449008,2635.1062829635944,2610.831773087565,2576.7961564854627,2675.489144140273,2818.4719450045823,2664.623327648491,2645.307500249232,3517.6672648008466,3530.596790982509,3629.5055193353146,3517.2995716504074,3525.271482273523,3515.0258253227294,3400.6655391889335,3409.192862907302,3503.805111627248,4382.47754579694,0.13248274897910192
e_subj68_m_seque_280,subj68,m,e,seque,105.31797102543155,444.86614523486026,435.74872072848467,418.8619016174036,410.4419809892926,422.7527617219835,402.3601941666159,403.1769771783535,369.59391498791507,227.22889750540324,1974.358220183279,1952.922810504362,1902.7138148874894,1901.6947166235002,1991.2510256725097,2115.8179678442993,2147.771077761328,2290.8709499116235,1137.74168476343,2472.094568006514,2403.9455820902067,2348.9190467547346,2342.361554839014,2297.140572636819,2387.273405977224,2522.9372586205545,2396.596137260858,2334.037200485573,3756.4355990105996,0.10640391527513202
a_subj62_m_bate_272,subj62,m,a,bate,155.72629478452458,749.6788685496076,786.0695815268724,822.2699811426212,829.6728708169991,827.0336670116626,802.4970620124717,777.6624384504107,767.915473069674,735.3914161993562,1342.2964938949615,1355.6288431816054,1370.8215472491681,1358.9354303989649,1422.5081481951577,1457.0911669383208,1446.0542743235249,1295.191008401343,1517.3606742638433,2557.3714631627613,2553.2711805948534,2511.646417535756,2523.5698168282333,2504.4874323234226,2529.9600732552226,2617.079302983287,2596.8084723059965,2608.306114280856,3526.0240176330394,0.1745929725066958
e_subj58_m_peca_89,subj58,m,e,peca,0.0,530.1489174111763,519.0256719355798,495.96522170676815,505.0798205030921,497.1945996731257,467.020513930287,447.75053105853755,411.3338452667756,408.70367578382564,1721.3913418681373,1744.5183045522701,1738.1066303132134,1760.107158043334,1787.7814080532464,1818.148371352523,1837.8819827394138,1859.3326723376415,1875.7389563318868,2402.095704891732,2397.647444024008,2406.0296000150324,2397.832409409146,2367.9464059075526,2281.089600202692,2218.994474821982,2289.9605503582475,2320.7033053603345,3194.001716582231,0.10905916427516046
e_subj76_m_beta_266,subj76,m,e,beta,130.84055250688607,509.2705603991586,513.7345663753455,521.4643864418392,531.3052475472758,546.0201076158646,546.1530926038412,529.3628072733856,510.3385421207223,486.60864664150984,1701.8019943520105,1680.498597275255,1688.7960352016507,1690.1512691505136,1667.0843761592619,1672.6463087096558,1670.6130692610984,1673.3558556088528,1633.7398197589214,2362.4519068832446,2326.539329056993,2320.8178017040386,2311.47652592771,2309.448364287825,2315.924101466946,2375.007979326077,2372.8171061895273,2339.222447591866,3452.7897417990416,0.1285309894226657
o_subj45_f_toca_210,subj45,f,o,toca,203.70101500687903,516.1322876324165,519.7252977868435,518.3998940054665,514.2114101823965,512.4029899341227,497.97854971169244,477.7122109243596,459.1715867207195,446.2568011114889,1362.7475270709058,1214.5101075888924,1189.8516161691316,1175.9707084899765,1132.2631896417938,1013.0409396666652,990.1890612616015,998.4717709924141,1004.0150713754235,2764.5267052852737,2743.2035337224083,2743.333327925,2755.273925961203,2785.4182682616615,2815.3892593189626,2846.6617424725046,2962.991289825554,3009.491711017162,3875.2343686281347,0.14048367957854568
a_subj78_m_bata_91,subj78,m,a,bata,125.16919767102458,646.4515847374144,653.1151688433433,661.003499568423,659.0376972382255,658.553593117994,658.100543323909,661.1807023791819,658.1556155610351,646.0141775178241,1311.9782177572274,1298.0438069767201,1308.6899546768825,1306.182995883596,1324.216613095895,1336.6017622322136,1352.4411508933051,1366.2901241672641,1369.3910361123085,2444.9234096110963,2477.515634775511,2495.792305642256,2510.250718358109,2505.745922683223,2505.9217057932465,2535.353026583751,2596.255913541753,2782.620295735821,3215.051025100055,0.09657375091355788
a_subj50_f_saque_77,subj50,f,a,saque,186.16398720868617,822.3635144318577,873.0083674380955,871.786039261701,812.1821912120978,779.7131315479996,640.8675821783985,932.9843947298539,979.4240547788103,944.6954391721731,1802.1864387929502,1831.6924233110128,1784.9423199464768,1759.5920252421488,1773.1088264166992,1755.1540784894155,1711.893440426569,1719.9218694130486,1735.2091352330528,2945.9301275766243,2905.0949170036524,2816.0767075180656,2598.6716998878774,2681.6096774833054,2684.7646011648403,2745.3756262248417,2819.4504305856954,2915.0371351150084,3941.626211187719,0.12851961139495813
u_subj36_f_supo_235,subj36,f,u,supo,290.1573322038182,371.7103409489846,391.10664975851654,407.6442558347576,433.5583684444596,438.4288256276509,364.9405481117415,337.0250630379796,331.2720911044235,273.2365837824991,1673.5659747257694,1469.4107790974615,1239.919023815097,942.4837645445032,790.6767909312177,832.9620034573389,860.5374272969383,925.569449042268,1109.1836962116008,2784.3493860668327,2783.157949166941,2809.599903573491,2823.587660997439,2839.077814306784,2854.520870970092,2881.145128256688,2818.3869069279212,2809.470178358296,4081.0040071983353,0.14066140453720666
