Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
u_subj44_f_supe_180,subj44,f,u,supe,223.7952055131754,448.1420269729488,442.2484118859327,436.3396998985057,426.84789149984965,415.15684024898735,404.4549349170932,396.4473596989384,397.20353824883966,416.11131343605155,1060.7102938558935,983.7837959861125,876.885351120598,814.559264426155,815.2210969806736,812.954634559396,776.5990471660027,679.9215982129647,429.7746804223202,2831.693209001544,2938.593028368178,2934.90639724021,2904.1757873164483,2876.3398188103697,2895.084373928276,2791.058424162715,2619.033497412033,2707.87855548452,4030.73766275203,0.11692988643573585
o_subj79_m_voto_143,subj79,m,o,voto,100.61668944795012,503.9656067671122,503.85896435274003,507.36890359845404,511.68708231755534,511.8261598475436,512.1763210012733,510.67622757562924,508.4908328925509,502.40128989584656,879.0938121387269,874.2027895971097,872.7237544986324,889.1198061415674,901.5900538068242,915.0560979171598,939.6881355922251,947.3224344678258,966.6812556132115,2778.441554631101,2790.012850647022,2794.2809935830483,2796.5164892123044,2799.49254935447,2802.393684898531,2802.85125026962,2802.748677975313,2807.3601883270744,,0.07876512765747065
o_subj32_f_voto_303,subj32,f,o,voto,248.96556175306642,545.3440663669077,564.708574881489,610.0050882972091,640.9123090059308,661.0020005178468,682.2449263013066,692.0803727078797,685.3664106038154,659.5687181791752,950.1413149907415,939.6365339332104,956.3122791431076,983.5502484975754,1016.9009713977514,1053.8975273917479,1095.1788352324984,1174.5659193401452,1263.6926200580879,2683.9017149713713,2665.761081380093,2734.1917255235862,2731.6622770873055,2743.3856688591613,2776.8787643993205,2772.1121457949653,2756.4907856994714,2782.3304631054903,3710.650421618817,0.1342352845527671
u_subj55_m_cura_263,subj55,m,u,cura,129.2845363341592,385.5056029349783,386.35111985774387,388.84887678703535,395.6952052980392,402.6696626391138,424.54819795637815,437.42659609081244,468.4350017708331,481.04579670130914,763.8516155623156,770.9970218698647,773.2285270300722,777.4114830087573,785.1943391175818,830.3342967928,907.6180462637611,1010.9409251471254,1085.918063364581,2848.8684716560497,2825.429773925572,2763.6592576204016,2867.3055517891785,2840.1216080215336,2950.4460918263835,3014.8032090594306,2784.7691485009505,2804.026253433722,3831.6305068907145,0.1433950001910148
a_subj79_m_saque_203,subj79,m,a,saque,116.82871050425548,659.5919184734008,671.9075275133468,671.9075275133468,684.3436391381595,693.5452915235923,698.458032024591,697.9281446834283,697.9281446834283,691.9132703378233,1467.4767323607616,1483.758515390229,1483.758515390229,1488.5817645547695,1491.609884759741,1502.809654674329,1526.318208275258,1526.318208275258,1547.220836979942,2799.9924634806903,2886.7935039293207,2886.7935039293207,2925.800240690934,2940.2541392257513,2946.8942913836277,2961.804552849569,2961.804552849569,3006.9688683644385,4068.1514918227426,0.06673259867073397
u_subj64_m_supe_300,subj64,m,u,supe,96.64094942005829,314.54340848623593,328.67296660040125,312.18260710827235,290.82639810465355,287.4462119775745,304.96156116580823,325.0819966181795,328.7327421008322,295.94328550156746,1033.3010460751175,957.5149382076241,929.8416945086229,891.4392508759378,851.0500918425685,842.1936292315918,835.9799952641118,835.3250922451415,789.5807586565493,2236.976241671751,2226.7161272359,2231.570466106959,2229.699849500494,2210.36326036583,2207.971421791164,2215.688760105911,2240.3949919644724,2220.004591607547,3214.4851482809418,0.09678365005216846
e_subj25_f_seque_147,subj25,f,e,seque,199.37055874531853,595.8203417234661,612.0786950912396,615.0403563245846,636.416886261231,614.9177951406579,594.3275051937568,588.6485109195527,578.3219566393055,562.0678650705497,2011.961226521682,2052.3479471129913,2094.827689774781,1676.2449821469368,1791.3012185231926,2295.5439697239335,2438.4179809180796,2448.004069160828,2468.1179688420307,3062.562287696766,3121.825927987964,3085.2813683544236,2966.3709428493953,2956.895062563597,3041.5301237825147,2992.600382583544,3007.8465034049714,3054.09162469227,3512.1185351028016,0.10624315102401169
i_subj48_f_quita_176,subj48,f,i,quita,217.27314859436152,322.34803984473587,332.9567343067189,347.00940191007686,350.48912843107223,346.1122020232706,345.37297909432783,353.0057828694503,361.85176075222796,366.87353701555423,2936.2691923672915,3005.2446519224654,2907.7908822607733,2879.128936908663,2903.0039624618244,2899.5996833830327,2937.362692640612,2936.232754215491,2826.2028620840815,3743.102374551952,3534.2083503698286,3481.847703344232,3472.2464520472017,3498.048500929887,3488.946425465981,3502.8089574435267,3452.034616683816,3337.440252008337,4161.354379831485,0.1096073094885753
i_subj58_m_quito_128,subj58,m,i,quito,0.0,473.43479247205727,418.8486628340119,637.8782554627189,548.5426781644501,333.0533623022198,317.1217413222483,341.82412211887055,361.63933489865485,347.5636108547507,1736.7341798014404,1670.1796688455468,1665.4258592325793,1704.757054606259,1783.576594588227,1881.120705120122,1966.1033221054058,1947.4482753278728,1899.4197117800081,2979.4967021797056,2964.6266766231097,2946.7815741669738,2934.6243992266313,2982.975603362313,2994.778172621905,2950.6112548679803,2876.537103937288,2755.4684691923235,3665.954289486919,0.07890752749025295
a_subj58_m_bate_91,subj58,m,a,bate,0.0,667.8816585357466,637.6125411864791,633.2746597930839,659.3750123991979,672.1711291771728,685.7906362973742,685.0198886889241,665.0262782419164,544.014530262383,1365.4864666678957,1313.3454452050828,1319.1230392856455,1330.8210736431406,1337.4780748459889,1410.090899726196,1467.8551373612308,1465.6671160785813,1391.857676150274,2654.8213466773723,2666.469699854665,2683.0653862462445,2668.4774614034304,2666.814961150303,2657.422252632531,2640.4767677886766,2637.7176272448246,2629.873928020006,3562.216557552794,0.09286919606663843
u_subj9_m_buque_255,subj9,m,u,buque,108.93222911129133,609.8289355532467,593.1669815353567,580.4821959151994,580.7054945626293,585.6141503702274,601.766452647388,581.5944411715136,598.725066109143,599.6849152411148,2884.3480446181766,2866.1935742923847,2866.809574185464,2879.0574371462553,2913.4602651748446,2875.848495456529,2874.630742598252,2952.590531374213,2980.3447088378302,3565.8599386229243,3529.234568473045,3581.7013274072788,3613.7747448617993,3600.8919988503076,3591.4835604644427,3595.027893925488,3684.2298916835634,3730.766793599304,4243.917807726588,0.10410599819223307
u_subj39_f_supo_209,subj39,f,u,supo,259.69161865644975,500.75105141310496,489.6214070729695,489.2983033267152,487.4318917817574,478.671070407288,473.92847432445893,468.3294831679464,463.1274626239437,436.8605267724158,1327.5536607355798,1128.7050958747398,1053.7042100399694,1026.4541902214787,989.3744103412918,976.0729195597477,912.1261442090623,745.9580146523967,803.9094835817983,2051.7711767760466,2255.1457972469448,2403.291333915002,2598.6162212984887,2560.438826582708,2598.2846670897743,2623.2562184680833,2504.0105926226242,2487.341698051531,3012.1059324358484,0.1379585868534946
u_subj36_f_supe_320,subj36,f,u,supe,287.8153274048187,313.24968475182965,314.13271389764276,320.0247607463216,329.0730066229637,327.98884441158725,322.72595212751605,313.35921061318487,277.45742519528596,259.2928524066153,665.2790639818176,653.2620134943139,661.9463406605349,682.5322094020113,692.4733412316301,709.1166024957037,727.1748817422489,708.972079627955,952.7795675984959,1468.2493885293245,1423.0315482310573,1417.3860854965965,1377.086836126114,1231.1758659212542,1129.1626606276975,1117.70022523985,1121.4162673313176,1895.426922938355,2089.987168903837,0.13339845064884912
i_subj62_m_pico_233,subj62,m,i,pico,181.5542096800484,304.5818864672835,295.8531840422991,293.43624035145166,287.0849755133626,275.3983125010734,260.753999345133,268.9311743224764,260.4246164123063,239.73746153596588,1383.0396555208624,1387.2784107123614,1375.0302870989794,1403.2197713691176,1395.6755057999962,1418.7202012414034,1418.2258744079784,1444.0597641332456,1423.9688367629496,2454.008666736275,2502.1965689803064,2530.7106073754403,2597.9003624078828,2691.728815164374,2731.544377363806,2677.9860876123557,2677.2449871410076,2729.5395826904855,3132.7525064669326,0.10002800177553581
u_subj40_f_supe_69,subj40,f,u,supe,216.10518744191762,443.56536740808775,450.67151875671726,462.5478735059595,460.93764141398583,455.22060074442425,433.7191995056014,433.28554957250685,418.2211339413603,284.54497378643794,1216.6432097224802,1239.3558182616757,2267.5938907360546,2144.2715477782494,2161.119069438172,2788.920161812881,2636.4537642038954,2485.2573365442963,2391.864106398339,2709.391484944803,2904.351536147101,3007.026212237452,3236.2970380674424,3243.878427971791,3612.747402625519,3577.92956708049,3488.933584376209,3438.837011085373,3661.5632729223116,0.10941082247445308
o_subj34_f_bota_321,subj34,f,o,bota,198.40452829480844,460.0767951110778,466.6056050720641,486.73658155291713,507.41828546580297,513.4557934611368,518.853919705795,515.3806101142555,534.8123069439109,480.6186876275504,788.9021016957589,800.793960369132,816.6376032956017,839.4957355411788,881.105999313211,924.0292818288508,928.0526264628571,876.5733644128388,839.8756545731668,3116.4966779274964,3132.4407025158866,3107.212293158691,3098.936758006732,3050.2708802594116,3053.790813469391,3026.8432550472035,3168.528142027687,3137.1631962314655,3837.822365423536,0.1318539329552891
u_subj14_m_cuco_243,subj14,m,u,cuco,141.13618974835444,402.2129234698955,442.41441850827755,526.7349561706288,535.5163175209567,567.348135187644,593.6309750084972,564.2287447460926,666.8145526884203,696.0127400853443,2544.951446068978,2690.0239408348557,2561.751415967536,2611.6242702422655,2676.7048338942886,2672.149625051916,3063.536914869372,2679.6500756256405,2412.6381157369515,3466.726408368072,3534.130700437486,3550.400366847077,3417.4671723290544,3478.753716342599,3528.43190982144,3514.0636478470715,3575.5666244575223,3467.6110964459567,4274.4625140943035,0.14602648497364046
e_subj2_f_beta_178,subj2,f,e,beta,209.8050127274037,389.5522716414843,396.93431365936317,403.80830962043837,390.33860138245507,393.3493142877138,396.0318623479812,398.8177931457864,396.2196935452761,390.4153619989746,630.9020024927125,619.7888998107031,619.1214840846632,631.919114965169,640.5771234496218,661.6238703128029,662.7030601086487,674.2132766905776,674.3427049821197,1830.658748874919,1864.3027548347955,1933.268584418674,1895.7137593022142,1896.2164073264094,1931.3607032508803,1932.1156377532802,1941.931886001401,2049.751764921982,2306.634864494886,0.13699745583255094
i_subj65_m_quite_229,subj65,m,i,quite,92.75157046531936,121.25336658319087,214.20496896322135,203.27056220690667,205.0826006998739,248.92741941828504,255.72635012246624,261.25899062160244,217.76837270537268,244.44233867854024,801.8940972316409,1138.121633054715,974.788760795758,1456.2398020323342,1131.2843823521205,1412.9800259857018,1437.794022116188,1318.3310498603378,1422.5214335883468,1946.2123452736512,2178.3557063585913,2192.449990094146,2205.6749660589076,2230.6522133969593,2267.052820115531,2264.2414003422896,2258.4551050539308,2231.409075858761,2573.2301613761465,0.15667342439865595
