Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
u_subj44_f_supe_180,subj44,f,u,supe,223.7952055131754,447.46018260828276,441.39780169364656,435.64533483622756,426.61924471938494,415.0565098571272,404.3592178983313,396.4652601180731,399.7744255024869,412.8903725175445,1049.2381324697076,975.0793443784119,874.8031703002166,815.036663495571,815.9062141097713,812.8329251161394,776.508981192269,679.7429450377398,416.1545476923847,2817.050714953379,2931.716026153925,2928.474545054151,2900.191281961718,2872.682620442656,2881.6995834742106,2785.812030118342,2668.252411835033,2713.7336893315533,4030.0465759814474,0.11692988643573585
o_subj79_m_voto_143,subj79,m,o,voto,100.61668944795012,502.97562147384014,502.64954563889074,505.67443232272717,510.11633482731276,510.71971493415475,511.3811708876381,510.09715433922344,508.29787383619305,502.9488960114032,878.3892632309962,874.1894881804701,872.884569565453,889.22273581335,902.434652823659,916.8933206096914,942.2119610848523,949.7072985156515,969.4493397442676,2782.7090939705768,2788.0612221858296,2790.5011488297473,2794.5724591582016,2799.06506694917,2802.099535725689,2800.1486712194283,2799.722072824993,2801.565094110751,3426.773446303692,0.07876512765747065
o_subj32_f_voto_303,subj32,f,o,voto,248.96556175306642,545.3440663669077,564.708574881489,610.0050882972091,640.9123090059308,661.0020005178468,682.2449263013066,692.0803727078797,685.3664106038154,659.5687181791752,950.1413149907415,939.6365339332104,956.3122791431076,983.5502484975754,1016.9009713977514,1053.8975273917479,1095.1788352324984,1174.5659193401452,1263.6926200580879,2683.9017149713713,2665.761081380093,2734.1917255235862,2731.6622770873055,2743.3856688591613,2776.8787643993205,2772.1121457949653,2756.4907856994714,2782.3304631054903,3710.650421618817,0.1342352845527671
u_subj55_m_cura_263,subj55,m,u,cura,129.2845363341592,384.6378452673722,385.32017046941684,387.79445309125873,395.18553353645774,402.3172922755747,423.8227951128974,437.2602343790475,467.3896737168355,480.25466510992834,763.8818108504302,770.7476551203881,772.989357775147,777.2636027485481,785.1382196080248,829.8842536341498,907.4842397687632,1009.9730261251495,1084.0814554330311,2837.68078160588,2805.9744778916465,2727.3578601282056,2849.7632376436654,2834.1405525463906,2943.9991954249053,3014.582550955992,2776.292263195597,2791.7227923786463,3828.72549119778,0.1433950001910148
a_subj79_m_saque_203,subj79,m,a,saque,116.82871050425548,660.3789901317197,672.9150996472989,672.9150996472989,685.5915769500865,694.6605894817559,699.0090526746772,697.7055896993324,697.7055896993324,691.4378253789257,1468.6422262186395,1484.5317875828296,1484.5317875828296,1489.2005690599526,1491.9869445511006,1502.6525471678437,1525.309709681234,1525.309709681234,1545.8195580152383,2792.9095365240946,2881.0135330125613,2881.0135330125613,2921.3716155260363,2936.88291174363,2944.8184890808748,2961.769351086784,2961.769351086784,3008.639352399006,4033.296775820528,0.06673259867073397
u_subj64_m_supe_300,subj64,m,u,supe,96.64094942005829,727.205850201473,764.4571667873481,756.4151634392987,750.0107725128385,762.651459925747,765.5607315451905,761.1272445395398,753.7280985383392,687.8273594218389,2277.835299434937,2295.364087918356,2341.289336555897,2408.7090110797412,2501.7905882457508,2533.8003262980383,2558.9000492665773,2658.0475696316994,2680.731065616699,3353.9111086801486,3392.571085032974,3433.293128862817,3445.9051467032564,3420.8389251028757,3392.8003097365827,3365.117951721171,3377.951277993652,3390.7922383333853,3961.538876528178,0.09678365005216846
e_subj25_f_seque_147,subj25,f,e,seque,199.37055874531853,570.1720239124347,594.3993251570946,608.8138618178332,657.358676975915,627.3016475667786,589.4454305328289,581.6070318420293,570.5329550266363,553.4399545327296,2009.8294018922204,2054.212861496683,2072.1654222547545,2142.1256215337785,2130.681130082998,2362.254795351637,2547.1539772097444,2527.503197307848,2534.8272342154637,3098.5799671455893,3153.9442490753636,3075.3841286960765,3090.2801184259533,3096.2558361710558,3012.404644488068,3036.8747088590294,3027.9861059794753,3071.935108783865,4463.8915930396015,0.10624315102401169
i_subj48_f_quita_176,subj48,f,i,quita,217.27314859436152,318.2373906916052,322.937578496292,325.8658278181372,328.7214972178153,333.43065049477576,338.1914580247613,347.456492187611,354.24112877076374,355.10633745294064,2975.089289727723,3027.427565165958,3028.756698524586,3009.6048838424126,2957.3946628814815,2929.2844746963706,2954.751714557281,2969.0552843942137,2893.740466051582,4013.539597239607,4037.985860762481,4032.263738806864,3749.571366526061,3630.3897175162033,3515.35045967918,3511.4832566561886,3483.9837127701007,3344.62882236662,,0.1096073094885753
i_subj58_m_quito_128,subj58,m,i,quito,0.0,488.3254800947771,501.9425641793841,642.6808946827867,564.0729816799882,376.5385565465094,324.13376361220224,341.4816411960639,357.6907561086024,344.50796983600804,1722.2843283241673,1665.212032444885,1657.1527514938434,1682.8641068999034,1750.4351260811613,1854.3569625488085,1967.5589366322886,1959.4449263474175,1904.920279016034,2961.0995446770817,2935.1533263139313,2909.5865541063295,2886.216646750138,2952.855502485059,3006.5306397238824,2960.7058656303234,2909.6327478760254,2772.7621448708965,3496.714104848913,0.07890752749025295
a_subj58_m_bate_91,subj58,m,a,bate,0.0,667.9523635542051,637.4690946183812,633.3945809125564,659.2939231354443,672.322105874917,686.0523141675891,685.404820249335,666.1211850767538,535.4517377056683,1364.7455445280189,1313.0526562114394,1318.9526128758137,1330.7289430900273,1337.7637960399418,1411.6858437068215,1471.2372769804583,1478.409735177932,1417.3792838413954,2655.3539674331355,2666.5342070036118,2682.857052380644,2668.427998671646,2666.9420691658406,2657.2987770089453,2640.4173575198192,2637.8193763299328,2630.4279739425497,3559.255934353025,0.09286919606663843
u_subj9_m_buque_255,subj9,m,u,buque,108.93222911129133,611.1555148587104,594.9065620690376,581.9662181969368,583.018621577346,587.4477642840329,602.9209143112655,585.0593965009426,598.2443234432253,599.1489075222574,2881.5883074509366,2854.3122741152065,2866.3628332492117,2875.5406611163767,2914.053710289519,2868.4926438475445,2837.0121269516603,2905.9255728082767,2894.1423291937485,3526.125851074485,3473.0416709066967,3574.7354491208716,3596.6280828524436,3582.0564556594645,3570.90590829186,3562.8342245251297,3615.9308613308735,3638.2012634385655,4246.30820729339,0.10410599819223307
u_subj39_f_supo_209,subj39,f,u,supo,259.69161865644975,498.6934564602708,489.2712517705453,487.90498213529713,486.0320789133071,478.32566374883004,471.84785630391326,466.5787370703593,462.98547404534185,441.0880347212344,1210.9359334771227,1120.7135894191126,1039.3419879506234,1017.9491319407239,987.9255246518312,969.9982417449465,908.6872668181786,745.6724438707524,804.3467470317958,2052.7687805455034,2236.9191797293483,2338.0789171894407,2577.789800494702,2562.600834623719,2598.9230484392197,2634.865517911892,2511.2720611633017,2491.847190256147,2981.6123342421824,0.1379585868534946
u_subj36_f_supe_320,subj36,f,u,supe,287.8153274048187,316.3009649102648,316.02044949490966,321.4898141272689,334.5518196920894,334.33966187424306,325.8257861888299,316.0818556260753,279.1596375315388,259.2187544141772,667.8082603715427,654.6194617916298,663.498341842437,690.1266545826046,704.5122697256771,718.1331268195756,738.508961929505,717.8670821166853,956.4281332554989,1477.6147618347316,1428.140911137073,1424.3315158245175,1412.4342001324824,1256.8637533798128,1134.5585867079753,1133.783651605538,1124.5325863670062,1968.2148873642186,2130.541456264794,0.13339845064884912
i_subj62_m_pico_233,subj62,m,i,pico,181.5542096800484,260.25535255989246,252.22532590749506,255.96886561491533,257.2873234717688,262.4391275365298,260.1610721197676,254.74169829898852,247.61326571104902,234.14936900900145,1452.1835136136176,1449.7154510956705,1472.847416419237,1525.494798088743,1467.1742183732022,1419.8597636764764,1440.287588747092,1455.129394345521,1447.7073470219098,2494.205763033465,2524.5052481960165,2565.024717906112,2628.953267727083,2700.037654276981,2728.7590338083714,2691.0357657501227,2695.2639790691246,2728.8694410707626,3143.476383596369,0.10002800177553581
u_subj40_f_supe_69,subj40,f,u,supe,216.10518744191762,455.3203657461059,451.13769272374947,454.5502573429086,447.68080939375443,440.9667529231851,432.5884457524945,430.00767664293465,403.9617793199088,259.29047765037984,1334.3847224088386,1275.2986830751897,1314.986248069252,1742.3815444265608,2164.435711139873,2821.254052347531,2699.052224904981,2651.3024204498297,2550.152569117963,2749.038773039209,2923.8074354172954,2916.2785530090923,3159.4663163524274,3189.8226871351403,3616.2201692283224,3582.3527234087555,3528.850702101984,3483.736770855337,3642.7381524709604,0.10941082247445308
o_subj34_f_bota_321,subj34,f,o,bota,198.40452829480844,458.64691764036945,465.7851502124351,485.4621499110124,506.55594521042957,512.6642347391611,518.5860164941163,514.8439027593319,529.3096136011658,481.71671406084346,789.4961597946054,801.1736423991487,817.0576174640663,839.5709646266183,880.5895048962334,923.6664863723131,927.5234113527309,884.842097684999,839.1028508317044,3113.920479403349,3129.9961039132304,3104.3016545666237,3096.9544914071193,3048.0154189349773,3054.1262562451216,3026.4298163751214,3163.499087673893,3140.2675268912512,3835.1427000194276,0.1318539329552891
u_subj14_m_cuco_243,subj14,m,u,cuco,141.13618974835444,384.40109930049516,443.40978534630955,523.0236038105891,543.0842180748921,570.1840861545154,590.9804420715813,562.9353987743749,677.4805784768946,704.5473611575297,2621.1918441555877,2614.1233803695213,2578.7765559619397,2561.190883995463,2731.6381695771342,2776.8421300352884,3019.969305649418,2930.417897473393,2723.605269909427,3470.2337486821334,3474.706046789901,3545.2126647873133,3378.9261450106565,3496.803258688334,3545.178486354446,3495.6874265454135,3759.2094552763824,3962.8988552712535,4313.264849974248,0.14602648497364046
