Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
e_subj78_m_seque_180,subj78,m,e,seque,160.16914092612097,508.3749902706618,521.0445460764586,523.8833133065344,527.7171081857408,529.2372810982763,531.9037675783181,532.1335541223999,525.738608486819,502.7567734751228,1696.6865133834017,1717.4683886362864,1737.3376194742466,1752.0167257757225,1754.9496374005225,1761.18578128029,1769.617961813216,1771.748019162713,1774.494440640048,2780.998578870438,2756.7737918539588,2746.150838843466,2720.6817730165085,2700.9127397926463,2681.2833885442255,2649.7671855463936,2619.594568746048,2612.295746522957,3859.347398413382,0.09985585349962775
o_subj49_f_toque_111,subj49,f,o,toque,211.7198065731346,562.8610656459339,541.5147533916147,525.5929950207155,495.75189085614585,481.8575959065366,468.45667044898636,435.66905354695865,417.2780427336457,384.4911655646677,1271.9823410324266,1254.8303144353063,1249.632996266987,1236.284430438445,1230.2472889703415,1225.0871327735645,1204.8464186947906,1185.4513352057327,1148.329273371855,3123.038682158196,3117.2306131880964,3119.353053441825,3174.1101489562093,3243.1622673563616,3304.597218169083,3306.036976485105,3268.274986572809,3157.7527247962225,3808.0811660254703,0.07919922525665299
e_subj41_f_seca_102,subj41,f,e,seca,194.9424321838692,569.1848729652309,581.0732603373073,585.8556095723652,581.2331663533375,572.6700050594401,557.6766443034472,545.4544482141287,532.3335146707539,519.3393338234094,1814.8441522629378,1841.8607509078947,1886.6077878920455,1915.7583570288741,1926.1123915273317,1931.9314481911817,1936.636447342611,1944.762952281565,1957.5612389900289,2648.4439117835836,2651.0597624173733,2670.538657906084,2688.890893874398,2698.7070818172424,2709.947351109149,2700.0465384264317,2661.813515275565,2649.4653598378527,4154.399026676413,0.0933401939338637
u_subj64_m_cura_236,subj64,m,u,cura,136.07218714429763,364.3373170401738,349.4120595647027,350.2432941885462,352.7020339328744,343.10440033750217,336.15063811921453,345.34627036675096,343.18077170888483,354.6980858312192,686.8893545973385,674.5805917006377,679.97518766189,679.5107938263479,681.6936652568617,687.0025188380076,696.7133464498229,710.5494064133118,744.3948743782598,2205.920880258668,2223.2290394472875,2234.5470564435163,2267.299102855013,2265.954134494739,2281.10724839236,2284.992682450761,2308.93162895906,2299.574373473029,2956.077969451149,0.1367879005835789
a_subj36_f_baso_279,subj36,f,a,baso,249.20950176006045,791.958184218348,821.401398391507,831.541258448377,842.9591877828378,863.3334556457125,859.0785941806116,813.915385187009,782.9277995336034,741.9424369562548,1408.099294942742,1429.3796417510846,1424.259308559256,1442.3596259679098,1494.2027132756025,1529.6663379390993,1541.827431941719,1618.5192194267602,1697.0062215655698,2734.3450716117677,2794.913240339845,2719.8651092683995,2726.934928255298,2794.026181649156,2809.496307354691,2768.7611932191553,2760.184040336533,2855.3324472583704,4439.381184777097,0.19342263227852075
i_subj19_f_pite_162,subj19,f,i,pite,194.32626665641385,375.3044438811478,372.34149865882125,370.74354785002646,368.61549204570906,367.0380563480716,365.8884080459787,363.6354137115839,357.3592501198793,338.66414306689114,2471.937882683903,2536.8733208741646,2551.231238312811,2564.754138781318,2577.508343553639,2581.247014700927,2562.440776105306,2542.129057378491,2522.4181296129545,2865.789426792596,3009.4236380748075,3130.3583807056766,3164.2472772995443,3146.907631959259,3183.871925311547,3163.0492790987346,3035.1039134189195,2726.8526238523264,4135.589401477919,0.13193046504459857
i_subj47_f_pite_197,subj47,f,i,pite,244.54870233273564,357.3854249233418,375.6003198704214,384.37844891244913,378.75682205059553,381.18338870392483,382.36281700552246,387.2441165647545,373.2153464860196,350.7562052384826,2543.5089249368066,2597.9398582729627,2667.717632898378,2727.72687822667,2735.3008756056806,2705.1984204141536,2685.762698893677,2574.7787723683746,2520.416060679238,2974.40314927514,2958.166540694783,2951.343452413524,2973.4022624547897,3021.5719360223648,3039.8149083314343,3064.851038136718,3102.355167077971,3162.6580770985734,4368.721653710544,0.09576386406063761
i_subj33_f_pica_84,subj33,f,i,pica,219.2044646817401,389.68446635075765,400.56973770071664,402.3510924196354,399.3921637746642,402.0566863576025,393.5609141493805,380.5919245149378,371.00275388511784,369.16832076788455,2480.3683616627527,2548.3634886705527,2575.6027906740546,2492.9849771380323,2486.7564858103924,2484.2306478043542,2552.50103984342,2575.43079754591,2636.488700470754,2966.5438002118212,2986.032288171344,2994.3647847336933,3034.2259914424285,2999.269921145852,3004.4942964362667,2986.9525351106636,2920.957368275856,2920.6542859823285,4061.4420768404816,0.12245227098611053
u_subj6_f_cuco_243,subj6,f,u,cuco,208.87409443046516,416.1548364499717,415.3173314707348,412.52412217575886,411.1490456862524,408.5691805835155,403.54461577792983,395.0846960806697,384.7512924541035,362.5714316239545,1078.2167755591672,1071.6765862776467,1058.8441287727803,1048.3201120068106,1043.2342954523458,1034.6200410588722,1007.5584543972484,988.5550322027204,984.6164610632164,2924.8760800445575,2801.9581287908513,2688.5829603830434,2831.883918001067,2778.414924639264,2807.256876873669,2869.33066042383,2885.827319744588,2689.5990155679538,4009.2311945441097,0.15377938830843052
o_subj43_f_voto_277,subj43,f,o,voto,226.3413794954416,486.87931230803906,520.3280104492205,539.9889647810055,543.2503204677131,527.520998208162,520.1147340611606,519.2552462596522,513.7590175529131,487.972427670634,916.8802499731862,925.9566212650002,962.3327230269008,1034.5936468708394,1101.25299708238,1147.3054298213256,1177.7995805601292,1232.45803308945,1355.047916883831,3214.3644736440137,3321.133729780424,3347.1297312912675,3347.251341548371,3299.6227710161784,3323.384510841126,3350.98350414905,3418.8128638156486,3392.3631478953725,3926.871942525096,0.14864689706674883
e_subj32_f_peca_156,subj32,f,e,peca,235.71226697536804,567.6069525466967,576.4526881676147,583.1653126980148,593.5948732657038,594.5524413737006,588.9086554605511,574.4350682521343,563.7178058425236,538.370116677578,2075.0229049825884,2113.224065343932,2120.957251680983,2132.8016472411214,2149.956186094279,2168.150635820716,2206.5691040231677,2240.531469760476,2288.7678757433778,2837.8220016296846,2868.391207359691,2852.1275404136,2835.867619519025,2843.9925606868346,2871.042663411338,2878.4291641707705,2856.985876076363,2786.8153551991923,3932.7448594239077,0.12665099179289427
u_subj75_m_supo_263,subj75,m,u,supo,133.71620624155338,371.5051015933872,375.2039239168017,377.3130206343238,377.9727398152665,378.8074360462011,381.1837104992763,379.28926421411796,369.11007890406984,355.38247607001125,1026.4900941841563,1010.5493642296711,970.7287575815335,928.0755118315221,917.4525958163694,912.4595373997018,898.642015329168,841.4923417940878,796.0231642027285,2461.5082598942736,2420.5003703617376,2403.417061685266,2408.963596337876,2433.0020940797936,2453.2276490510703,2480.0967385837744,2456.933760292182,2453.5688778352924,3089.8623914295476,0.12054762635912084
e_subj81_m_veto_269,subj81,m,e,veto,103.31112391485613,441.87977400138783,443.7663135742249,427.07602156747606,437.49362576841526,440.8566875175741,435.5357952554372,429.5617752684713,421.3896871230398,401.58818062776174,1886.730422612526,1924.4643342664742,1884.090875160203,1895.8941196288813,1906.143803507609,1904.8555848245383,1893.6223601488737,1890.8539430072633,1861.8574521803641,2640.5815935194446,2588.7997879510467,2544.8226485202586,2588.2062505640306,2597.6626170878344,2556.3789005426047,2572.718161970949,2605.164048222532,2580.402203706735,2927.0499733702686,0.13518822949068862
e_subj66_m_seso_133,subj66,m,e,seso,100.7049416233218,409.67880280017977,417.0060197821781,407.2765578432072,410.3053383879248,416.3331355635113,413.9658197298901,422.60976449548116,419.1000497966872,413.2641806186631,1762.524892508251,1774.2040857766312,1777.7168124431764,1775.529569607406,1776.1235682905444,1774.89253824564,1770.7134364492717,1759.1282890107204,1743.2065434555004,2550.5112513296035,2549.452777839133,2547.161353068884,2546.8339976399875,2547.840688299954,2538.316927818012,2524.1924065867033,2521.723619251887,2514.1889638159323,3469.338939246006,0.10766746690406989
i_subj56_m_viso_62,subj56,m,i,viso,110.32399807714273,322.7306403463609,322.343722093161,322.8260291976581,320.3035035317463,334.68121897488925,314.5804247553696,328.1112610427509,340.06490508528583,333.17859122406463,2155.5280842910406,2179.184951105717,2183.8815700213595,2194.622719033663,2203.3917592981097,2227.1678498770357,2209.634155752179,2183.610061230261,2174.4666130110663,2741.666967597135,2716.7413663798466,2726.444629573163,2734.49581143312,2724.01760719815,2736.4139424779746,2715.1082616966746,2693.9704438469184,2705.8866366393872,3335.347970767066,0.11335318554571358
o_subj67_m_bota_54,subj67,m,o,bota,114.81266029778156,440.66377694617114,440.1148740972997,436.99174141294753,435.3587375522372,434.53646189177147,435.9310300914282,426.03544816866696,438.41232111033565,403.4845821508107,885.5628667195332,878.4387908239294,885.091611878283,899.0358236725217,919.1716633028311,939.4473023417266,972.6927376106017,1055.9911689535545,1085.9102454620433,2644.9365556936446,2657.235256125005,2644.551587203988,2628.684397550579,2634.037694145634,2637.451334761338,2665.824837310049,2629.8925714856464,2672.459273704615,3082.2556213121343,0.1304153504817279
i_subj1_m_quite_114,subj1,m,i,quite,112.90578721129832,286.60467719358587,287.41100527682295,287.3939592575334,287.670400392792,289.49457125860897,291.10115890117316,290.8058963558506,289.01020571256555,290.24309152499796,2492.8627457661933,2484.5230938819423,2487.7900083329846,2484.60093776707,2478.17806545568,2475.0630280522546,2479.7861003836065,2518.5765716069964,2551.8899055910747,3239.7674203476317,3220.6395190297003,3216.9377262506423,3215.722252987241,3199.7544947111687,3175.340291381161,3155.579481207501,3142.4649627867852,3148.107324307988,4186.839814290904,0.0756255268741711
