Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
e_subj78_m_seque_180,subj78,e,160.16914092612097,528.5352876374717,1752.619407529003,2691.3029085345497,3835.045408041295,0.0998558534996277
o_subj49_f_toque_111,subj49,o,211.720146987964,527.9479307843842,1251.7491405340431,3222.477607019317,3817.100731504303,0.0791992252566529
e_subj41_f_seca_102,subj41,e,194.9424321838692,583.9141790228902,1932.220556964896,2691.37321762246,4124.000124845971,0.0933401939338637
u_subj64_m_cura_236,subj64,u,136.07218714429763,343.45280110510635,681.6628891114519,2295.044536365717,2990.463460079829,0.1367879005835789
a_subj36_f_baso_279,subj36,a,249.20352130541488,863.409918279089,1494.1525944864816,2794.116237347167,4441.086775493277,0.1934226322785207
i_subj19_f_pite_162,subj19,i,194.32828263825184,370.30437368201257,2647.339354613073,3366.526843130064,4270.379536355156,0.1319304650445985
i_subj33_f_pica_84,subj33,i,219.2044646817401,410.3437607436088,2470.0038541699705,2977.04299719478,4060.641902064421,0.1224522709861105
u_subj6_f_cuco_243,subj6,u,208.8740944304652,408.5489361229953,1043.0614683360266,2772.8908549842185,4007.9386581220047,0.1537793883084305
o_subj43_f_voto_277,subj43,o,226.3413794954416,525.3732363802073,1098.1618119036532,3302.338098356698,3930.756533887512,0.1486468970667488
e_subj32_f_peca_156,subj32,e,235.71226697536804,602.7009211476565,2215.392350668419,2902.3172089530763,4018.717405404524,0.1266509917928942
u_subj75_m_supo_263,subj75,u,133.71620624155338,382.3249685042807,917.6069216673532,2429.273382577482,3114.393825662125,0.1205476263591208
e_subj81_m_veto_269,subj81,e,103.31112391485613,436.8212018254828,1918.509587250977,2631.912274541085,3246.560241308964,0.1351882294906886
e_subj66_m_seso_133,subj66,e,100.7049416233218,347.1420211815352,1786.3282823735003,2578.7485348729115,3918.561259098446,0.1076674669040698
i_subj56_m_viso_62,subj56,i,110.32399807714272,324.871906326396,2213.3406432735896,2746.301532255925,3424.8463934055776,0.1133531855457135
o_subj67_m_bota_54,subj67,o,114.81266029778156,397.2740509690373,883.1735933454863,2691.3510840015133,3208.0474951862093,0.1304153504817279
i_subj1_m_quite_114,subj1,i,112.90578721129832,301.13622484048545,2453.3544131368203,3150.2836478599997,4153.178252109778,0.0756255268741711
o_subj24_m_toque_90,subj24,o,122.9971494185052,494.8336764963436,960.1818269357224,2176.8175884496072,2770.0342441549456,0.1190234125483385
o_subj32_f_voto_129,subj32,o,197.1714100336665,535.7024045475531,977.4861705818568,2848.238348654668,3513.483711092634,0.1297606100783866
a_subj10_f_bata_126,subj10,a,201.47440312897228,900.0539147590738,1583.0146038445969,3268.531205355825,4546.358774473477,0.1210093455278183
u_subj44_f_supe_180,subj44,u,223.7952055131754,494.1978728255581,3136.1107009319285,4098.575199493537,6252.966343236243,0.1169298864357358
i_subj26_f_quita_62,subj26,i,196.1453332288261,346.74571619634514,2715.9082580269665,3310.4410721449776,4104.416515448378,0.1093436245205921
u_subj18_f_puso_81,subj18,u,227.499792827162,443.8127670538928,942.2712513326696,2735.9105170878247,3984.8838904805616,0.1654389824898686
u_subj17_f_supe_267,subj17,u,255.870314762123,511.1521422913598,1450.0312214107466,2936.041338746552,3893.0081738429913,0.0973645880335652
a_subj53_m_saque_48,subj53,a,108.73963068519348,744.9096890865877,1336.1234659022475,2502.984034037512,3534.5199898427404,0.0903154098547048
i_subj40_f_pico_44,subj40,i,219.12352307938548,339.2498594783922,2114.5088857244377,2617.8702722201247,3497.373213268329,0.088623573674711
