Subject,Gender,Vowel,Max_Formant
subj78,m,e,5526.315789473684
subj49,f,o,4894.736842105263
subj41,f,e,4894.736842105263
subj64,m,u,3842.1052631578946
subj36,f,a,6157.894736842105
subj19,f,i,7000.0
subj47,f,i,4473.684210526316
subj33,f,i,4894.736842105263
subj6,f,u,4894.736842105263
subj43,f,o,5526.315789473684
subj32,f,e,6578.9473684210525
subj75,m,u,3421.0526315789475
subj81,m,e,3842.1052631578946
subj56,m,i,4052.6315789473683
subj67,m,o,4684.210526315789
subj1,m,i,4473.684210526316
subj24,m,o,3631.578947368421
subj32,f,o,4684.210526315789
subj10,f,a,6789.473684210527
subj26,f,i,6368.421052631578
subj18,f,u,5526.315789473684
subj17,f,u,5947.368421052632
subj53,m,a,4263.157894736842
subj40,f,i,5105.263157894737
subj81,m,o,4052.6315789473683
subj3,m,u,4684.210526315789
subj50,f,a,3000.0
subj13,f,a,6368.421052631578
subj69,m,u,4894.736842105263
subj48,f,o,5736.842105263158
subj81,m,e,3842.1052631578946
subj54,m,i,5736.842105263158
subj49,f,u,5315.78947368421
subj32,f,a,5105.263157894737
subj64,m,o,4263.157894736842
subj18,f,i,5526.315789473684
subj68,m,o,5105.263157894737
subj26,f,i,5736.842105263158
subj55,m,a,5947.368421052632
subj51,f,o,4894.736842105263
subj49,f,e,4894.736842105263
subj75,m,a,5105.263157894737
subj37,f,i,4684.210526315789
subj81,m,e,4684.210526315789
subj6,f,e,6578.9473684210525
subj35,f,u,3631.578947368421
subj24,m,e,4263.157894736842
subj41,f,u,5315.78947368421
subj49,f,i,5105.263157894737
subj41,f,a,5526.315789473684
subj17,f,u,4263.157894736842
subj17,f,a,5947.368421052632
subj71,m,e,5736.842105263158
subj24,m,e,4894.736842105263
subj11,m,a,4684.210526315789
subj5,f,o,5315.78947368421
subj1,m,a,5736.842105263158
subj28,f,i,5947.368421052632
subj80,m,i,5315.78947368421
subj8,f,e,6368.421052631578
subj64,m,o,4473.684210526316
subj37,f,u,3210.5263157894738
subj53,m,u,4684.210526315789
subj53,m,e,4473.684210526316
subj27,f,o,5736.842105263158
subj54,m,u,4684.210526315789
subj34,f,i,5947.368421052632
subj63,m,i,7000.0
subj9,m,e,4894.736842105263
subj59,m,a,4263.157894736842
subj59,m,o,3842.1052631578946
subj39,f,u,3631.578947368421
subj31,m,e,4052.6315789473683
subj63,m,e,5105.263157894737
subj75,m,e,4052.6315789473683
subj29,m,i,5947.368421052632
subj46,f,e,6368.421052631578
subj26,f,o,5526.315789473684
subj18,f,o,5736.842105263158
subj52,m,a,4894.736842105263
subj34,f,a,5947.368421052632
subj56,m,u,4473.684210526316
subj14,m,u,4684.210526315789
subj74,m,u,3842.1052631578946
subj24,m,o,3631.578947368421
subj4,f,a,6789.473684210527
subj26,f,e,5947.368421052632
subj56,m,o,3842.1052631578946
subj64,m,o,4052.6315789473683
subj75,m,i,5315.78947368421
subj69,m,e,4263.157894736842
subj1,m,e,4263.157894736842
subj54,m,e,5736.842105263158
subj14,m,u,3631.578947368421
subj60,m,u,4052.6315789473683
subj13,f,e,5315.78947368421
subj34,f,e,6157.894736842105
subj66,m,e,4263.157894736842
subj67,m,u,4263.157894736842
subj36,f,e,6368.421052631578
subj44,f,i,5105.263157894737
subj47,f,u,6789.473684210527
subj42,f,o,4894.736842105263
subj61,m,u,4894.736842105263
subj62,m,o,3631.578947368421
subj73,m,i,5105.263157894737
subj31,m,a,4052.6315789473683
subj19,f,o,5315.78947368421
subj9,m,u,3210.5263157894738
subj61,m,a,5315.78947368421
subj59,m,u,4684.210526315789
subj50,f,i,4894.736842105263
subj5,f,u,3631.578947368421
subj70,m,o,4473.684210526316
subj10,f,a,6368.421052631578
subj78,m,i,4263.157894736842
subj5,f,e,4473.684210526316
subj72,m,i,6368.421052631578
subj44,f,u,5315.78947368421
subj56,m,o,4263.157894736842
subj39,f,i,6789.473684210527
subj75,m,a,5315.78947368421
subj36,f,a,6578.9473684210525
subj57,m,i,6157.894736842105
subj81,m,e,4473.684210526316
subj3,m,e,4684.210526315789
subj20,m,o,4684.210526315789
subj75,m,o,3210.5263157894738
subj54,m,e,4263.157894736842
subj62,m,e,4473.684210526316
subj64,m,i,3842.1052631578946
subj50,f,e,5105.263157894737
subj14,m,i,4473.684210526316
subj50,f,a,5947.368421052632
subj28,f,a,4894.736842105263
subj26,f,o,5526.315789473684
subj25,f,a,5315.78947368421
subj15,m,o,4684.210526315789
subj45,f,a,6157.894736842105
subj34,f,e,5315.78947368421
subj23,f,i,6368.421052631578
subj34,f,u,5736.842105263158
subj53,m,e,5105.263157894737
subj34,f,i,5315.78947368421
subj57,m,o,3631.578947368421
subj65,m,u,3631.578947368421
subj10,f,e,6789.473684210527
subj18,f,o,6157.894736842105
subj65,m,e,4052.6315789473683
subj60,m,o,4684.210526315789
subj81,m,i,4473.684210526316
subj40,f,a,5736.842105263158
subj13,f,e,5315.78947368421
subj64,m,i,3842.1052631578946
subj32,f,e,5947.368421052632
subj7,f,i,3210.5263157894738
subj81,m,e,4473.684210526316
subj10,f,o,5105.263157894737
subj43,f,a,6157.894736842105
subj52,m,o,5105.263157894737
subj76,m,e,5105.263157894737
subj69,m,i,4263.157894736842
subj16,f,u,5736.842105263158
subj9,m,o,4263.157894736842
subj49,f,o,5526.315789473684
subj58,m,a,4052.6315789473683
subj22,f,i,6368.421052631578
subj20,m,a,5736.842105263158
subj65,m,u,6789.473684210527
subj11,m,i,5105.263157894737
subj41,f,e,5315.78947368421
subj66,m,o,3631.578947368421
subj31,m,u,4684.210526315789
subj52,m,a,5947.368421052632
subj79,m,e,5947.368421052632
subj76,m,a,5105.263157894737
subj69,m,i,7000.0
subj60,m,e,5315.78947368421
subj65,m,e,4894.736842105263
subj50,f,i,6789.473684210527
subj37,f,a,6578.9473684210525
subj2,f,a,6368.421052631578
subj72,m,u,5105.263157894737
subj58,m,e,4473.684210526316
subj15,m,e,5315.78947368421
subj57,m,u,4263.157894736842
subj74,m,e,4684.210526315789
subj75,m,e,5105.263157894737
subj79,m,e,4473.684210526316
subj68,m,o,4894.736842105263
subj41,f,o,4473.684210526316
subj12,f,e,6157.894736842105
subj49,f,a,4684.210526315789
subj49,f,e,4473.684210526316
subj65,m,u,6157.894736842105
subj75,m,o,4473.684210526316
subj80,m,o,4263.157894736842
subj33,f,e,6157.894736842105
subj9,m,e,4473.684210526316
subj39,f,a,6789.473684210527
subj75,m,e,5526.315789473684
subj13,f,o,4684.210526315789
subj81,m,u,3000.0
