Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
subj14_m_cura_259,subj14,m,vata,cura,219.96984882568236,547.0868368374978,697.6514281603726,730.3735012925924,624.1651593756035,603.7127705533502,612.3112996342741,474.01740220793175,684.0262290641041,1544.17424423277,1312.181063014917,1275.8367288690438,1295.333632990103,1242.3289143176194,1294.311811804527,1266.450542827215,1277.354579452343,2170.004285396904,2704.522321772612,2172.1941353944585,2278.046852980096,2249.7199377790125,2493.4772291633753,2813.94963365694,2768.171906196958,2376.347623569377,3399.436749971595,3484.6053043593224,3948.2801970300793,0.3283130597456534
subj14_m_vata_263,subj14,m,vata,vata,116.31046731285758,--undefined--,596.1394872431737,686.8215143328912,803.8301873645738,803.1054021727107,748.5211183884498,564.9311467725591,132.61171209246757,1415.0138689623757,--undefined--,2353.9094870869576,2305.4640447371394,2311.345859577502,2376.917208421445,2429.307841009476,2377.064279451127,1967.3258164903468,2881.951163750425,--undefined--,3928.5278725345,3613.907368217901,3989.464410284572,3403.837908685883,3942.3901529712,3569.083881903011,3145.328265002161,3675.0828385918826,4063.61725840506,0.12246577174011009
subj28_f_pica_123,subj28,f,io,pica,213.7183923857038,273.13371817468675,290.6770815823907,292.7894032778416,293.8961417359288,296.700542508247,306.2431822741098,292.9014966626038,260.4666973010913,209.52882292011495,2551.783546778363,2725.6531832282967,2837.962040182839,2834.6056707156627,2824.4806185760535,2945.3882199997565,2775.9050843147793,2744.481036123722,2644.158979615026,2904.8076129885812,2914.0606086376465,3081.834335051427,3144.663203833424,3250.418287487547,2977.1581253393474,2959.03201478056,3294.266203179905,3045.530829166285,4132.285305429468,0.10909432603416748
subj32_f_toco_140,subj32,f,oo,toco,201.76244029672145,522.7513986056076,544.6627851793094,555.7592874090486,550.2557519396777,524.8657164314355,486.87900136730383,451.6860911607477,384.4615526851062,322.6707027998546,1173.2889886402531,1130.1657891750413,1071.0272031031463,1010.4051339906924,977.5334746738492,949.7718989906338,860.707881153516,815.9010935023123,799.9929926512297,2545.223544945796,2540.291955200554,2537.035514753733,2566.896928609035,2605.794064921152,2637.792644400484,2651.5937980848953,2689.047447140701,2917.777069181194,3480.172054579453,0.09249878358301088
subj52_m_quito_139,subj52,m,ui,quito,115.6608222529403,322.6576661884072,239.39584680162145,204.2808404113986,241.16973217563307,258.72544837590493,224.34941476300017,197.99077558971527,208.4264616422619,273.4352640076361,2443.0696541336547,2461.5632960563685,2363.5220923233105,2245.5522446751093,2262.2401025168792,2223.810253625621,1923.606259264407,1702.0648452668745,1789.3155805417623,2919.5335573584307,2702.3399900213417,2810.8316736789097,3258.6998191688845,3409.346584338473,3456.4857661121937,3163.198957552438,2989.5576436116085,3196.1394902593515,4584.925993307962,0.07988486454235044
subj5_f_saque_96,subj5,f,ao,saque,173.90074525253652,738.9877688178254,834.3174778958459,832.9083054311368,916.0804993831964,788.0369541372202,676.9278810651602,398.650048859752,346.76549271065954,586.4432594852268,1640.7702480896344,1562.0609655029584,1139.1378288072633,1407.3587263078514,1223.5530739560045,1362.0487019763766,1414.4922097960568,1631.5817812339792,1740.7235597087565,3215.8262668248863,3085.8665796697146,2849.2115149512715,2990.864518581307,2795.8078628006097,2622.0621705220283,2658.5129717056934,2822.786601250349,2895.7451779477137,3691.7454980306934,0.1223250543886678
subj61_m_vote_267,subj61,m,oo,vote,126.21086668041056,526.5347967724607,526.8709810379179,533.5902365676377,534.5078962278496,539.2856969785042,524.380259806344,503.8857550034312,483.80958669670986,448.4494150444067,873.5083263802248,919.6911520085828,895.5515432042342,896.3820704429407,945.7009152053206,1001.744685939432,1038.7446533290283,1059.5943572065376,1088.6078131472943,2749.158808881333,2786.7066651122277,2801.445585066612,2853.8398415122606,2906.0894663498834,2867.1538614621777,2831.8279980351863,2840.187377194467,2868.2991600625387,3356.7998079943186,0.10587084073875984
subj74_m_coro_20,subj74,m,saqu,coro,104.01241628552214,481.0607800751073,346.82317894133723,484.6219520629627,511.0295633454994,555.0922620416652,546.8719503609219,444.85316240414113,971.5946519330604,875.4393449674428,1263.5705270926449,1226.617695908529,1264.5400992755062,1249.161688804,1231.234225156988,1108.9460075636362,990.3308976580583,2673.3158724153313,2423.00436639475,1738.0325468659862,2391.4440046918694,1766.2836311068722,1932.4491547296557,2658.6686111450676,2441.343381571164,2481.6180464131435,3698.44048975474,3565.1789281228757,3657.8642570512284,0.27641426837316985
subj74_m_saque_23,subj74,m,saqu,saque,--undefined--,--undefined--,1593.9212309311176,1704.5333507644937,1685.070554408817,1772.1600862146458,1673.4052329764545,1722.4864150856683,1577.4933750603611,1163.098204137428,--undefined--,2582.556400966863,2762.331383533382,2763.201089070608,2927.1596085174683,2735.852952468916,3037.3859304784382,2822.916398249525,2348.783577036576,--undefined--,3311.5401415567303,3592.494691059212,3811.8631328044826,3780.98387975746,4002.715595477257,3964.835409296881,3899.1766936323224,3254.4283619614093,4878.253719150814,0.176827665603998
subj8_f_vato_144,subj8,f,ao,vato,194.66374175649716,574.7001040208116,626.031195511874,696.367899653556,752.3114630642501,768.0739983683865,770.6685963674273,754.2686164925185,713.9228498379753,642.8305087640886,1184.9940677666577,1199.407268037291,1262.6045905263863,1334.4019997762066,1361.6069498992829,1382.3407367565271,1380.1569740936288,1344.3576953323782,1461.1111109397964,2554.458651991812,2504.4851450802894,2485.705196120888,2495.40129428233,2547.4744079617963,2615.8899766099803,2619.1484706453352,2556.1429453824508,2606.969233768132,3566.5037644236068,0.14748681512807593
