Filename,Subject,Gender,Vowel,Word,F0,F1-10,F1-20,F1-30,F1-40,F1-50,F1-60,F1-70,F1-80,F1-90,F2-10,F2-20,F2-30,F2-40,F2-50,F2-60,F2-70,F2-80,F2-90,F3-10,F3-20,F3-30,F3-40,F3-50,F3-60,F3-70,F3-80,F3-90,F4,Duration
subj10_f_bote_38,subj10,f,o,bote,194.673089652947,488.03777334228545,480.7126070147579,500.7264185437042,507.43435875937456,511.3590133534714,517.6553999280252,521.9029940229734,511.5506609317924,469.27056479722535,956.8824417313178,802.244259732978,830.4225852446567,872.5936035812969,893.8428011370615,933.3556999367194,1005.9083456834161,1121.9154850395175,1219.1695057351506,3032.21052760766,3051.8428464114636,3112.3555899438334,3224.289576502471,3244.7143892216022,3243.106827725773,3261.7665273291773,3287.730968271454,3269.4816305380095,4288.76752744599,0.10340578330504258
subj10_f_buque_100,subj10,f,u,buque,204.21221341463905,419.41014505077146,425.06143754648366,415.9588771389196,422.86720110025703,417.62578351400464,416.46041047597805,420.2452942387105,494.17627824365843,711.761714455796,1274.5758094235425,1033.1441080607424,959.3705977036335,961.428627242649,855.856444118365,831.0794330874656,830.7639742171328,1396.251958930914,3182.9104695491374,2628.1018996893627,2564.834958863245,2793.7542270822155,2784.676474211506,2804.4054545548393,2848.373545317802,2830.2940035059587,2994.8659118480377,3737.837814851306,4426.857512477173,0.08370328889634493
subj10_f_buque_189,subj10,f,u,buque,219.23450792799363,449.1569006451083,412.020432049059,415.2091786545734,421.06386940928115,423.4416069409228,423.11732858562243,417.88741886537076,407.24853444023915,300.7629332760842,1256.8088107656176,980.6487973428293,967.1914565117607,926.2784219771563,894.8078232683292,899.5726254884341,937.5454494946351,1081.6674936430597,1150.982941368738,2794.703262641622,2741.2932176834956,2786.2000247067695,2799.173352091812,2878.56413799914,2931.248243427008,2823.5187052117417,2957.1009554350676,2959.6453473540514,4355.069382974558,0.10872435972225958
subj10_f_coro_175,subj10,f,o,coro,185.92181274256149,465.77634164255153,506.0677556070138,534.2210729718033,542.2233158957748,546.4509495961386,547.3279825099548,544.4135309467212,540.7423928917572,533.8037771990664,869.2686089455401,895.3137420535427,904.5687599616624,926.9670281844988,1009.4298518206986,1094.5245579730388,1182.040788960035,1252.4662253303497,1327.8582933681241,2870.6286244673247,3013.3054052636653,3042.347729086952,2974.182070193761,2913.171000235737,2888.5955636134227,2839.3437461720473,2875.457964152426,2882.1758357153526,4118.487489691463,0.11015013235558513
subj10_f_coro_29,subj10,f,o,coro,214.40066960972968,486.9233284897303,472.24083452111176,464.8367883561991,465.22027102296573,476.48413823846306,478.2358731347172,469.9711655802072,463.6474585680062,465.0698572185892,834.2509042739663,986.6304076624185,1043.291305920563,1045.807834719518,1023.0653668843985,1152.245481720879,1249.2261735952354,1248.748498221687,1491.9397830370099,2754.4400529112763,2754.624442094777,2746.5070849910126,2805.3192499130996,2812.0163128937215,2835.293767002491,2882.0524607284474,2894.968502267729,3052.6625515005057,4247.772044625575,0.127405377062626
subj10_f_cosa_123,subj10,f,o,cosa,197.22789006419296,504.78312885882116,532.4050515874504,542.6980233353046,552.5020152680123,560.8889192619778,564.9196748804383,565.8228491902615,564.167133730825,558.4993546863028,975.9798413950314,970.6933646077799,977.0297488546541,994.7264288507415,1018.9873019402821,1048.487416280899,1096.4192201952467,1140.7569700251381,1157.7905419739247,2938.625589605104,2920.166490438231,2923.8537926047597,2938.44945211938,2969.9327081701013,3044.9827961558985,3088.882426070245,3115.574988588206,3124.8957388850363,4281.27779014833,0.06785965239616587
subj10_f_cosa_207,subj10,f,o,cosa,214.96379028599645,481.87968415841664,495.86390010523803,513.0557388423391,529.9667284296922,541.395004233296,547.1055639257922,530.510838602983,503.40254039802835,443.10630887582187,885.3162657449853,889.4948186218364,931.9043405753741,989.3518547535093,1037.0977886344372,1069.541928793891,1088.921507088491,1104.2039832198382,1147.2957060424044,2953.339198687014,3019.9194332969087,3063.2363977126956,3145.3000024640605,3192.7874241389754,3194.7835203999875,3164.4206765891495,3174.90755639755,3232.7243897179515,4169.514571081609,0.09514770332921785
subj10_f_cuco_133,subj10,f,u,cuco,214.55259528192832,415.60228281213176,412.471938398753,415.6090717352201,417.15647791066914,417.1534414297864,415.38689978270804,407.67160126941053,399.14959836619954,389.9907171433848,1063.758821951542,1036.9503859782453,1040.1882339091524,1029.5771029860325,997.2776059786851,939.7339373646603,916.9492964506542,894.5501642720914,870.9192049206464,2822.2805566424327,2778.1336546916577,2726.0918955945062,2758.289292562942,2759.2403583271093,2716.6759659471318,2758.6167408707015,2832.058971016482,2937.4844493724845,4253.422053244142,0.06696528548107494
subj10_f_cuco_41,subj10,f,u,cuco,211.318499654319,384.60515358840377,406.3051779476238,409.74237425536046,411.13000349264183,414.40452252573965,400.76938593537307,394.30192930082893,350.07938335108895,421.2188042931321,992.3607475714722,889.0526673405712,883.4346061555136,859.4753542914832,702.2433291027929,774.6122905781598,1837.5461691184823,2436.3101859774165,1984.0917057258491,2863.167916696731,2901.7288176812826,2982.5186683484626,3080.6582183877213,2931.7885817929055,2928.1618252578864,3468.7284729971134,3560.6200813168894,2988.6779493835447,4159.640973160959,0.08123968396576231
subj10_f_cura_144,subj10,f,u,cura,214.37348735447003,392.65792425304005,409.6241742758345,412.53982180884134,418.4190889411506,419.1628270827939,423.79198352326875,430.4992433909791,441.02504619029105,446.1614874613456,1022.746548651955,897.1181501334676,886.0492472752985,962.9831421487675,1015.4201411560207,1078.9918611061541,1121.6779279380794,1233.949074715755,1300.875384016745,2765.8497124506,2817.7185963117527,2980.2838384361194,2866.9544162677125,2739.4045425577438,2995.836369807361,2978.567450233855,2924.857998327092,2932.8873360729713,4427.292812114801,0.11111350564470968
subj10_f_cura_90,subj10,f,u,cura,204.15959793812013,409.37413218918726,398.25691591387,395.4503953140043,399.136062207235,403.9828554486765,410.3183087484716,418.83902607408226,426.4951015108284,429.5406595286485,1249.3097006588869,840.4134465315622,872.4219123294358,931.8190586802186,996.8041795764711,1045.9234052739062,1126.1129768343703,1227.5394541034407,1334.7399490329235,3096.964741551766,2864.8044650901347,2814.2144029159062,2950.6958661371996,3067.8318938069665,3016.0522067012394,2944.707972058062,2926.7254034889943,2982.551582032848,4273.266052453384,0.09706949228105088
