Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj10_f_bote_38,subj10,o,194.673089652947,511.3590133534714,893.8428011370615,3244.7143892216022,4288.76752744599,0.10340578330504258
subj10_f_buque_100,subj10,u,204.21221341463905,417.62578351400464,855.856444118365,2804.4054545548393,4426.857512477173,0.08370328889634493
subj10_f_buque_189,subj10,u,219.23450792799363,423.4416069409228,894.8078232683292,2878.56413799914,4355.069382974558,0.10872435972225958
subj10_f_coro_175,subj10,o,185.92181274256149,546.4509495961386,1009.4298518206986,2913.171000235737,4118.487489691463,0.11015013235558511
subj10_f_coro_29,subj10,o,214.40066960972968,476.48413823846306,1023.0653668843984,2812.0163128937215,4247.772044625575,0.127405377062626
subj10_f_cosa_123,subj10,o,197.22789006419296,560.8889192619778,1018.987301940282,2969.9327081701013,4281.27779014833,0.06785965239616587
subj10_f_cosa_207,subj10,o,214.96379028599645,541.395004233296,1037.0977886344372,3192.787424138975,4169.514571081609,0.09514770332921783
subj10_f_cuco_133,subj10,u,214.55259528192832,417.1534414297864,997.2776059786852,2759.2403583271093,4253.422053244142,0.06696528548107494
subj10_f_cuco_41,subj10,u,211.318499654319,414.4045225257397,702.2433291027929,2931.7885817929055,4159.640973160959,0.08123968396576231
subj10_f_cura_144,subj10,u,214.37348735447003,419.1628270827939,1015.4201411560208,2739.404542557744,4427.292812114801,0.11111350564470968
subj10_f_cura_90,subj10,u,204.15959793812013,403.9828554486765,996.8041795764713,3067.8318938069665,4273.266052453384,0.09706949228105088
subj10_f_peca_119,subj10,e,208.0169286057369,560.0757941032952,2363.689701912918,3208.4970555309724,4492.15852284808,0.07836941029144384
subj10_f_peca_155,subj10,e,209.21076880923357,561.5713623458411,2532.74681496614,3221.7902178206596,4683.474009603296,0.08529742627132464
subj10_f_pica_112,subj10,i,212.88911391539392,349.9578968228282,2897.015664770658,3764.7711571220216,4573.839484832363,0.0840595906234114
subj10_f_pica_205,subj10,i,231.6007320778203,514.2952490590437,3021.3711291484524,3519.6608734511924,4572.485923636062,0.08083860517817243
subj10_f_pico_186,subj10,i,197.32585530745263,371.6780918417073,2812.091450983648,3587.8792649312545,4542.13333875728,0.06440692049335439
subj10_f_pico_46,subj10,i,208.3993741390586,376.59348592141725,3004.565966091985,3597.3143293369662,4628.8673878628815,0.07076726111893095
subj10_f_pisa_166,subj10,i,222.70123428175827,385.39471865325606,2740.3894473363716,3310.4077638840176,4548.5115099020995,0.08866348192040618
subj10_f_pisa_82,subj10,i,205.0041078596717,366.3328712948648,2778.709100084184,3592.512174842349,4628.817010785324,0.0646675685997451
subj10_f_pite_216,subj10,i,223.61384249570733,351.1676291023629,2751.051643902364,3505.231710786729,4488.862058447456,0.06173235626081919
subj10_f_pite_87,subj10,i,204.36260613318595,370.2148104905555,2824.0912507555395,3474.0713468270683,4565.704182401806,0.07023645277897117
subj10_f_pura_218,subj10,u,211.05084305687976,418.4344899592794,911.5671922690336,2857.9588585671695,4128.3734326549775,0.11780915629782383
subj10_f_pura_69,subj10,u,212.2060103795419,416.3866686637943,946.6317214199876,2849.282788202064,4281.9952270888925,0.11667319998001346
subj10_f_puso_164,subj10,u,213.93474884202547,403.0897325837609,1129.872491472367,2952.937686185146,4263.319257738318,0.08528010682647391
subj10_f_puso_85,subj10,u,205.60120448816593,410.042318844108,1158.0852439698108,2719.045732762544,4346.383384191447,0.08825476533753829
subj10_f_quita_220,subj10,i,229.55137250512968,352.70473003367624,2834.6837470508995,3566.199031046936,4420.541646763216,0.07230018898283674
subj10_f_quita_93,subj10,i,218.92052554908088,370.73648817699393,2724.9179915987647,3655.0965271474224,4607.961635392325,0.07313146082948663
subj10_f_quite_135,subj10,i,201.78574366576245,372.55835873781854,2850.7567105067437,3709.794685446573,4618.81421053134,0.04966714770782232
subj10_f_quito_128,subj10,i,181.20412799171464,322.80398398370124,2780.5680340598124,3510.4208947633024,4255.178833450837,0.03448148612676505
subj10_f_quito_180,subj10,i,200.12022317642868,345.9000878845438,2803.7436880722817,3513.0166308130915,4541.70444825029,0.03439365144387807
subj10_f_saca_182,subj10,a,198.1794362534214,937.9166904119068,1788.9445799636333,3128.6128383448627,4774.542070015759,0.09593149456054562
subj10_f_saca_77,subj10,a,188.70658569113732,875.1088692350955,1713.6089120333515,2931.7967480990037,4554.171276962717,0.09470259789861755
subj10_f_saco_121,subj10,a,203.9147765866704,888.2799965117299,1697.0236114764994,3073.8856099679087,4585.963682396976,0.08705717084164633
subj10_f_saco_214,subj10,a,212.57152342888085,880.6173498556409,1688.3108129525,3155.127776674001,4191.188668771907,0.09182564467326416
subj10_f_sacque_153,subj10,a,170.9566548563785,870.833677722209,1898.4101761673023,3018.6428969137405,4641.289030845376,0.07998622840642611
subj10_f_saque_52,subj10,a,180.04547258384596,744.7257635944442,1727.17986579671,2992.463625322783,4344.551969711902,0.07664391423147521
