Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669948141239,02/12/2022 02:29:01,1669948141030,-6,01/12/2022 20:29:01,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669948146639,02/12/2022 02:29:06,1669948146450,-6,01/12/2022 20:29:06,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,1,1,1,Screen 1,advancementZone,continue_button,5269.600000023842,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669948146949,02/12/2022 02:29:06,1669948146784,-6,01/12/2022 20:29:06,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,101,1,1,Screen 2,fixation,fixation,349.7549999999992,,,,,0,1,0,,,,,1,Trial (Noise),i_subj67_m_pite_204.wav,Babble_015.wav,i,1,,3-A,noise,subj67,m,pite,204
4,1669948147092,02/12/2022 02:29:07,1669948146810,-6,01/12/2022 20:29:06,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,101,1,2,Screen 1,Zone6,content_web_audio,4.899999976158142,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj67_m_pite_204.wav,Babble_015.wav,i,1,,3-A,noise,subj67,m,pite,204
5,1669948147092,02/12/2022 02:29:07,1669948146812,-6,01/12/2022 20:29:06,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,101,1,2,Screen 1,Zone8,content_web_audio,6.600000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj67_m_pite_204.wav,Babble_015.wav,i,1,,3-A,noise,subj67,m,pite,204
6,1669948147092,02/12/2022 02:29:07,1669948146813,-6,01/12/2022 20:29:06,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,101,1,2,Screen 1,Zone7,content_web_audio,7.800000071525574,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj67_m_pite_204.wav,Babble_015.wav,i,1,,3-A,noise,subj67,m,pite,204
7,1669948148507,02/12/2022 02:29:08,1669948148297,-6,01/12/2022 20:29:08,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,101,1,2,Screen 1,Zone4,response_button_text,1489.6000000238419,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj67_m_pite_204.wav,Babble_015.wav,i,1,,3-A,noise,subj67,m,pite,204
8,1669948148798,02/12/2022 02:29:08,1669948148649,-6,01/12/2022 20:29:08,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,65,2,1,Screen 2,fixation,fixation,366.40999999999985,,,,,0,1,0,,,,,1,Trial (Noise),e_subj22_f_seque_83.wav,Babble_049.wav,e,1,,3-A,noise,subj22,f,seque,83
9,1669948148961,02/12/2022 02:29:08,1669948148670,-6,01/12/2022 20:29:08,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,65,2,2,Screen 1,Zone6,content_web_audio,2.100000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj22_f_seque_83.wav,Babble_049.wav,e,1,,3-A,noise,subj22,f,seque,83
10,1669948148961,02/12/2022 02:29:08,1669948148671,-6,01/12/2022 20:29:08,92237,21,task-bbxa,,25622117,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Naming Task,26,Block 3-A,soundCheckPassed,3-A,3-A,65,2,2,Screen 1,Zone8,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj22_f_seque_83.wav,Babble_049.wav,e,1,,3-A,noise,subj22,f,seque,83
