Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669954136158,02/12/2022 04:08:56,1669954136391,-8,01/12/2022 20:08:56,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669954142293,02/12/2022 04:09:02,1669954142598,-8,01/12/2022 20:09:02,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,1,1,1,Screen 1,advancementZone,continue_button,6169,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669954142634,02/12/2022 04:09:02,1669954142938,-8,01/12/2022 20:09:02,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,85,1,1,Screen 2,fixation,fixation,350.02600000000075,,,,,0,1,0,,,,,1,Trial (Noise),i_subj8_f_viso_72.wav,Babble_188.wav,i,1,,0-A,noise,subj8,f,viso,72
4,1669954142819,02/12/2022 04:09:02,1669954142953,-8,01/12/2022 20:09:02,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,85,1,2,Screen 1,Zone6,content_web_audio,4.200000002980232,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj8_f_viso_72.wav,Babble_188.wav,i,1,,0-A,noise,subj8,f,viso,72
5,1669954142819,02/12/2022 04:09:02,1669954142954,-8,01/12/2022 20:09:02,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,85,1,2,Screen 1,Zone8,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj8_f_viso_72.wav,Babble_188.wav,i,1,,0-A,noise,subj8,f,viso,72
6,1669954142819,02/12/2022 04:09:02,1669954142955,-8,01/12/2022 20:09:02,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,85,1,2,Screen 1,Zone7,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj8_f_viso_72.wav,Babble_188.wav,i,1,,0-A,noise,subj8,f,viso,72
7,1669954143907,02/12/2022 04:09:03,1669954144227,-8,01/12/2022 20:09:04,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,85,1,2,Screen 1,Zone4,response_button_text,1277.1000000014901,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj8_f_viso_72.wav,Babble_188.wav,i,1,,0-A,noise,subj8,f,viso,72
8,1669954144250,02/12/2022 04:09:04,1669954144571,-8,01/12/2022 20:09:04,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,144,2,1,Screen 2,fixation,fixation,350.02900000000045,,,,,0,1,0,,,,,1,Trial (Noise),o_subj31_m_cosa_243.wav,Babble_171.wav,o,1,,0-A,noise,subj31,m,cosa,243
9,1669954144469,02/12/2022 04:09:04,1669954144581,-8,01/12/2022 20:09:04,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,144,2,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj31_m_cosa_243.wav,Babble_171.wav,o,1,,0-A,noise,subj31,m,cosa,243
10,1669954144469,02/12/2022 04:09:04,1669954144581,-8,01/12/2022 20:09:04,92237,21,task-gkse,,25622503,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1920x1007,,Audio Naming Task,26,Block 0-A,soundCheckPassed,0-A,0-A,144,2,2,Screen 1,Zone8,content_web_audio,2.399999998509884,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj31_m_cosa_243.wav,Babble_171.wav,o,1,,0-A,noise,subj31,m,cosa,243
