Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1673574677131,13/01/2023 01:51:17,1673574677377,-6,12/01/2023 19:51:17,92237,23,questionnaire-7e5k,,26357398,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,958x958,,Consent,6,Block 4-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673574722907,13/01/2023 01:52:02,1673574723225,-6,12/01/2023 19:52:03,92237,23,questionnaire-7e5k,,26357398,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,941x958,,Consent,6,Block 4-A,soundCheckPassed,No,response-1,1
3,1673574723091,13/01/2023 01:52:03,1673574723227,-6,12/01/2023 19:52:03,92237,23,questionnaire-7e5k,,26357398,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,941x958,,Consent,6,Block 4-A,soundCheckPassed,No,END QUESTIONNAIRE,45850
1,1673575953929,13/01/2023 02:12:33,1673575953458,-6,12/01/2023 20:12:33,92237,23,questionnaire-7e5k,,26357543,BLIND,7780692,,complete,,63c0ba131356c274e318f4ce,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1536x864,1536x746,,Consent,6,Block 1-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673576342287,13/01/2023 02:19:02,1673576341363,-6,12/01/2023 20:19:01,92237,23,questionnaire-7e5k,,26357543,BLIND,7780692,,complete,,63c0ba131356c274e318f4ce,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1536x864,1519x746,,Consent,6,Block 1-A,soundCheckPassed,No,response-1,1
3,1673576342548,13/01/2023 02:19:02,1673576341365,-6,12/01/2023 20:19:01,92237,23,questionnaire-7e5k,,26357543,BLIND,7780692,,complete,,63c0ba131356c274e318f4ce,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1536x864,1519x746,,Consent,6,Block 1-A,soundCheckPassed,No,END QUESTIONNAIRE,387907
1,1673578908849,13/01/2023 03:01:48,1673578908906,-6,12/01/2023 21:01:48,92237,23,questionnaire-7e5k,,26357766,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,,Consent,6,Block 6-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673578913340,13/01/2023 03:01:53,1673578913440,-6,12/01/2023 21:01:53,92237,23,questionnaire-7e5k,,26357766,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x760,,Consent,6,Block 6-A,soundCheckPassed,No,response-1,1
3,1673578913624,13/01/2023 03:01:53,1673578913443,-6,12/01/2023 21:01:53,92237,23,questionnaire-7e5k,,26357766,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x760,,Consent,6,Block 6-A,soundCheckPassed,No,END QUESTIONNAIRE,4537
1,1673578972845,13/01/2023 03:02:52,1673578972704,-5,12/01/2023 22:02:52,92237,23,questionnaire-7e5k,,26357771,BLIND,7780733,,complete,,63c0c9d3c635015d5fa66dcb,computer,Desktop or Laptop,Mac OS 10.15,Firefox 108.0,1440x900,1381x828,,Consent,6,Block 7-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673578977413,13/01/2023 03:02:57,1673578977311,-5,12/01/2023 22:02:57,92237,23,questionnaire-7e5k,,26357771,BLIND,7780733,,complete,,63c0c9d3c635015d5fa66dcb,computer,Desktop or Laptop,Mac OS 10.15,Firefox 108.0,1440x900,1381x828,,Consent,6,Block 7-A,soundCheckPassed,No,response-1,1
3,1673578977583,13/01/2023 03:02:57,1673578977313,-5,12/01/2023 22:02:57,92237,23,questionnaire-7e5k,,26357771,BLIND,7780733,,complete,,63c0c9d3c635015d5fa66dcb,computer,Desktop or Laptop,Mac OS 10.15,Firefox 108.0,1440x900,1381x828,,Consent,6,Block 7-A,soundCheckPassed,No,END QUESTIONNAIRE,4609
1,1673579582998,13/01/2023 03:13:02,1673579582870,-5,12/01/2023 22:13:02,92237,23,questionnaire-7e5k,,26357810,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Consent,6,Block 6-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673579597836,13/01/2023 03:13:17,1673579597740,-5,12/01/2023 22:13:17,92237,23,questionnaire-7e5k,,26357810,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Consent,6,Block 6-B,soundCheckPassed,No,response-1,1
3,1673579597985,13/01/2023 03:13:17,1673579597742,-5,12/01/2023 22:13:17,92237,23,questionnaire-7e5k,,26357810,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Consent,6,Block 6-B,soundCheckPassed,No,END QUESTIONNAIRE,14872
