Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1673574472387,13/01/2023 01:47:52,1673574474496,-6,12/01/2023 19:47:54,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x746,,Language Background,5,Block 5-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673574545163,13/01/2023 01:49:05,1673574547291,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-1,25-35
3,1673574545328,13/01/2023 01:49:05,1673574547293,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-1-quantised,2
4,1673574545328,13/01/2023 01:49:05,1673574547293,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-gender,acearo
5,1673574545328,13/01/2023 01:49:05,1673574547293,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-impairment,No
6,1673574545328,13/01/2023 01:49:05,1673574547293,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-impairment-quantised,2
7,1673574545328,13/01/2023 01:49:05,1673574547294,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-native,si
8,1673574545328,13/01/2023 01:49:05,1673574547294,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-fluency,"ingles 6 y.o, japones 15 y.o"
9,1673574545328,13/01/2023 01:49:05,1673574547294,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-where,chile
10,1673574545328,13/01/2023 01:49:05,1673574547294,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,response-aoa,3
11,1673574545328,13/01/2023 01:49:05,1673574547295,-6,12/01/2023 19:49:07,92237,23,questionnaire-enic,,26357380,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Language Background,5,Block 5-A,soundCheckPassed,No,END QUESTIONNAIRE,72799
1,1673575065601,13/01/2023 01:57:45,1673575065158,-8,12/01/2023 17:57:45,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673575124317,13/01/2023 01:58:44,1673575123889,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-1,25-35
3,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-1-quantised,2
4,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-gender,male
5,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-impairment,No
6,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-impairment-quantised,2
7,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-native,"si, espanol"
8,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-fluency,"ingles, a los 5 anos"
9,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-where,en mi casa
10,1673575124552,13/01/2023 01:58:44,1673575123892,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,response-aoa,1
11,1673575124552,13/01/2023 01:58:44,1673575123893,-8,12/01/2023 17:58:43,92237,23,questionnaire-enic,,26357452,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,375x548,,Language Background,5,Block 7-B,soundCheckPassed,No,END QUESTIONNAIRE,58735
1,1673575836451,13/01/2023 02:10:36,1673575836293,-5,12/01/2023 21:10:36,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673575911326,13/01/2023 02:11:51,1673575911194,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-1,25-35
3,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-1-quantised,2
4,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-gender,femenino
5,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-impairment,No
6,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-impairment-quantised,2
7,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-native,si
8,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-fluency,"ingles, a los 18 años"
9,1673575911593,13/01/2023 02:11:51,1673575911196,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-where,colombia
10,1673575911593,13/01/2023 02:11:51,1673575911197,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,response-aoa,1
11,1673575911593,13/01/2023 02:11:51,1673575911197,-5,12/01/2023 21:11:51,92237,23,questionnaire-enic,,26357532,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Language Background,5,Block 4-B,soundCheckPassed,No,END QUESTIONNAIRE,74904
1,1673578916368,13/01/2023 03:01:56,1673578916443,-6,12/01/2023 21:01:56,92237,23,questionnaire-enic,,26357767,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,,Language Background,5,Block 6-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1673578975413,13/01/2023 03:02:55,1673578975501,-6,12/01/2023 21:02:55,92237,23,questionnaire-enic,,26357767,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x760,,Language Background,5,Block 6-A,soundCheckPassed,No,response-1,18-25
3,1673578975637,13/01/2023 03:02:55,1673578975504,-6,12/01/2023 21:02:55,92237,23,questionnaire-enic,,26357767,BLIND,7780732,,complete,,63c0c98df8f43f8425295c9d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x760,,Language Background,5,Block 6-A,soundCheckPassed,No,response-1-quantised,1
