Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673590180350,13/01/2023 06:09:40,1673590181641,-8,12/01/2023 22:09:41,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673590184178,13/01/2023 06:09:44,1673590185522,-8,12/01/2023 22:09:45,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,1,1,1,Screen 1,advancementZone,continue_button,3780.5,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673590184510,13/01/2023 06:09:44,1673590185856,-8,12/01/2023 22:09:45,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,191,1,1,Screen 2,fixation,fixation,351.20799999999963,,,,,0,1,0,,,,,1,Trial (Noise),u_subj27_f_tusa_136.wav,Babble_088.wav,u,1,,1-B,noise,subj27,f,tusa,136
4,1673590184754,13/01/2023 06:09:44,1673590185922,-8,12/01/2023 22:09:45,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,191,1,2,Screen 1,Zone6,content_web_audio,4.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj27_f_tusa_136.wav,Babble_088.wav,u,1,,1-B,noise,subj27,f,tusa,136
5,1673590184754,13/01/2023 06:09:44,1673590185923,-8,12/01/2023 22:09:45,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,191,1,2,Screen 1,Zone8,content_web_audio,5.899999976158142,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj27_f_tusa_136.wav,Babble_088.wav,u,1,,1-B,noise,subj27,f,tusa,136
6,1673590184754,13/01/2023 06:09:44,1673590185924,-8,12/01/2023 22:09:45,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,191,1,2,Screen 1,Zone7,content_web_audio,6.800000011920929,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj27_f_tusa_136.wav,Babble_088.wav,u,1,,1-B,noise,subj27,f,tusa,136
7,1673590190935,13/01/2023 06:09:50,1673590192241,-8,12/01/2023 22:09:52,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,191,1,2,Screen 1,Zone4,response_button_text,6321.5,,,i,1,0,1,0,,,,,1,Trial (Noise),u_subj27_f_tusa_136.wav,Babble_088.wav,u,1,,1-B,noise,subj27,f,tusa,136
8,1673590191251,13/01/2023 06:09:51,1673590192602,-8,12/01/2023 22:09:52,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,12,2,1,Screen 2,fixation,fixation,367.15999999999985,,,,,0,1,0,,,,,1,Trial (Noise),a_subj4_f_vato_368.wav,Babble_033.wav,a,1,,1-B,noise,subj4,f,vato,368
9,1673590191476,13/01/2023 06:09:51,1673590192666,-8,12/01/2023 22:09:52,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,12,2,2,Screen 1,Zone6,content_web_audio,3.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj4_f_vato_368.wav,Babble_033.wav,a,1,,1-B,noise,subj4,f,vato,368
10,1673590191476,13/01/2023 06:09:51,1673590192667,-8,12/01/2023 22:09:52,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,12,2,2,Screen 1,Zone8,content_web_audio,4.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj4_f_vato_368.wav,Babble_033.wav,a,1,,1-B,noise,subj4,f,vato,368
11,1673590191476,13/01/2023 06:09:51,1673590192668,-8,12/01/2023 22:09:52,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,12,2,2,Screen 1,Zone7,content_web_audio,5.600000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj4_f_vato_368.wav,Babble_033.wav,a,1,,1-B,noise,subj4,f,vato,368
12,1673590193676,13/01/2023 06:09:53,1673590195001,-8,12/01/2023 22:09:55,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,12,2,2,Screen 1,Zone1,response_button_text,2335.900000035763,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj4_f_vato_368.wav,Babble_033.wav,a,1,,1-B,noise,subj4,f,vato,368
13,1673590193985,13/01/2023 06:09:53,1673590195341,-8,12/01/2023 22:09:55,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,101,3,1,Screen 2,fixation,fixation,350.7489999999998,,,,,0,1,0,,,,,1,Trial (Noise),i_subj21_f_pite_125.wav,Babble_180.wav,i,1,,1-B,noise,subj21,f,pite,125
14,1673590194201,13/01/2023 06:09:54,1673590195407,-8,12/01/2023 22:09:55,92237,23,task-2wsk,,26358205,BLIND,7780841,,complete,,63c0f46641259f6683237300,mobile,Samsung SM-G970U,Android 12,Chrome 108.0.0.0,869x412,777x284,,Audio Naming Task,27,Block 1-B,soundCheckPassed,1-B,1-B,101,3,2,Screen 1,Zone6,content_web_audio,3.100000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj21_f_pite_125.wav,Babble_180.wav,i,1,,1-B,noise,subj21,f,pite,125
