Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,group,block,vowel,subject,gender,word,token_num,filename,babble
1,1673579713472,13/01/2023 03:15:13,1673579713341,-5,12/01/2023 22:15:13,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1673579728797,13/01/2023 03:15:28,1673579728706,-5,12/01/2023 22:15:28,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15317.299999999814,,,,,0,1,0,,,,,,Prompt,,,,,,,,,
3,1673579729236,13/01/2023 03:15:29,1673579729145,-5,12/01/2023 22:15:29,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,fixation,fixation,452.22299999999814,,,,,0,1,0,,,,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
4,1673579729371,13/01/2023 03:15:29,1673579729169,-5,12/01/2023 22:15:29,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,2,Screen 2,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
5,1673579729371,13/01/2023 03:15:29,1673579729170,-5,12/01/2023 22:15:29,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,2,Screen 2,Zone2,content_web_audio,2.7000000001862645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
6,1673579734792,13/01/2023 03:15:34,1673579734358,-5,12/01/2023 22:15:34,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,2,Screen 2,Zone7,response_button_text,5189.799999999814,,,e,1,1,0,0,,,,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
7,1673579736006,13/01/2023 03:15:36,1673579735917,-5,12/01/2023 22:15:35,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,3,Correct,advancementZone,continue_button,1548.5,,,,,0,1,0,,,,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
8,1673579736142,13/01/2023 03:15:36,1673579735943,-5,12/01/2023 22:15:35,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,8,1,6,Transition,Zone1,timelimit_screen,16.748999999999796,,,,,0,1,0,,,1,,1,Trial,0-A,quiet,e,subj36,f,vete,122,e_subj36_f_vete_122.wav,none
9,1673579736454,13/01/2023 03:15:36,1673579736380,-5,12/01/2023 22:15:36,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,1,Screen 1,fixation,fixation,452.2230000000018,,,,,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
10,1673579736601,13/01/2023 03:15:36,1673579736405,-5,12/01/2023 22:15:36,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,2,Screen 2,Zone1,content_web_audio,3.900000000372529,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
11,1673579736601,13/01/2023 03:15:36,1673579736406,-5,12/01/2023 22:15:36,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,2,Screen 2,Zone2,content_web_audio,4.6000000005587935,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
12,1673579738723,13/01/2023 03:15:38,1673579738648,-5,12/01/2023 22:15:38,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,2,Screen 2,Zone5,response_button_text,2245,,,o,1,1,0,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
13,1673579739626,13/01/2023 03:15:39,1673579739558,-5,12/01/2023 22:15:39,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,3,Correct,advancementZone,continue_button,900.1000000005588,,,,,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
14,1673579739771,13/01/2023 03:15:39,1673579739568,-5,12/01/2023 22:15:39,92237,23,task-43kc,,26357816,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Test Run,15,Block 6-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,6,Transition,Zone1,timelimit_screen,16.748999999999796,,,,,0,1,0,,,1,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
