Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673581052836,13/01/2023 03:37:32,1673581051564,-4,12/01/2023 23:37:31,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673581056875,13/01/2023 03:37:36,1673581055638,-4,12/01/2023 23:37:35,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,1,1,1,Screen 1,advancementZone,continue_button,3978,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673581057378,13/01/2023 03:37:37,1673581055999,-4,12/01/2023 23:37:35,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,197,1,1,Screen 2,fixation,fixation,397.3199999999997,,,,,0,1,0,,,,,1,Trial (Noise),u_subj21_f_supo_174.wav,Babble_015.wav,u,1,,9-B,noise,subj21,f,supo,174
4,1673581057706,13/01/2023 03:37:37,1673581056064,-4,12/01/2023 23:37:36,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,197,1,2,Screen 1,Zone6,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj21_f_supo_174.wav,Babble_015.wav,u,1,,9-B,noise,subj21,f,supo,174
5,1673581057706,13/01/2023 03:37:37,1673581056065,-4,12/01/2023 23:37:36,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,197,1,2,Screen 1,Zone8,content_web_audio,7,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj21_f_supo_174.wav,Babble_015.wav,u,1,,9-B,noise,subj21,f,supo,174
6,1673581057706,13/01/2023 03:37:37,1673581056066,-4,12/01/2023 23:37:36,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,197,1,2,Screen 1,Zone7,content_web_audio,8,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj21_f_supo_174.wav,Babble_015.wav,u,1,,9-B,noise,subj21,f,supo,174
7,1673581065630,13/01/2023 03:37:45,1673581064402,-4,12/01/2023 23:37:44,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,197,1,2,Screen 1,Zone5,response_button_text,8338,,,e,1,0,1,0,,,,,1,Trial (Noise),u_subj21_f_supo_174.wav,Babble_015.wav,u,1,,9-B,noise,subj21,f,supo,174
8,1673581065970,13/01/2023 03:37:45,1673581064756,-4,12/01/2023 23:37:44,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,5,2,1,Screen 2,fixation,fixation,377.40000000000146,,,,,0,1,0,,,,,1,Trial (Noise),a_subj23_f_vara_65.wav,Babble_021.wav,a,1,,9-B,noise,subj23,f,vara,65
9,1673581066307,13/01/2023 03:37:46,1673581064822,-4,12/01/2023 23:37:44,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,5,2,2,Screen 1,Zone6,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj23_f_vara_65.wav,Babble_021.wav,a,1,,9-B,noise,subj23,f,vara,65
10,1673581066307,13/01/2023 03:37:46,1673581064824,-4,12/01/2023 23:37:44,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,5,2,2,Screen 1,Zone8,content_web_audio,8,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj23_f_vara_65.wav,Babble_021.wav,a,1,,9-B,noise,subj23,f,vara,65
11,1673581066307,13/01/2023 03:37:46,1673581064825,-4,12/01/2023 23:37:44,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,5,2,2,Screen 1,Zone7,content_web_audio,9,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj23_f_vara_65.wav,Babble_021.wav,a,1,,9-B,noise,subj23,f,vara,65
12,1673581069017,13/01/2023 03:37:49,1673581067767,-4,12/01/2023 23:37:47,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,5,2,2,Screen 1,Zone5,response_button_text,2939,,,e,1,0,1,0,,,,,1,Trial (Noise),a_subj23_f_vara_65.wav,Babble_021.wav,a,1,,9-B,noise,subj23,f,vara,65
13,1673581069344,13/01/2023 03:37:49,1673581068120,-4,12/01/2023 23:37:48,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,123,3,1,Screen 2,fixation,fixation,379.5600000000013,,,,,0,1,0,,,,,1,Trial (Noise),i_subj73_m_quite_95.wav,Babble_053.wav,i,1,,9-B,noise,subj73,m,quite,95
14,1673581069675,13/01/2023 03:37:49,1673581068183,-4,12/01/2023 23:37:48,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,123,3,2,Screen 1,Zone6,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj73_m_quite_95.wav,Babble_053.wav,i,1,,9-B,noise,subj73,m,quite,95
15,1673581069675,13/01/2023 03:37:49,1673581068184,-4,12/01/2023 23:37:48,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,123,3,2,Screen 1,Zone8,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj73_m_quite_95.wav,Babble_053.wav,i,1,,9-B,noise,subj73,m,quite,95
16,1673581069675,13/01/2023 03:37:49,1673581068185,-4,12/01/2023 23:37:48,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,123,3,2,Screen 1,Zone7,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj73_m_quite_95.wav,Babble_053.wav,i,1,,9-B,noise,subj73,m,quite,95
17,1673581075602,13/01/2023 03:37:55,1673581074185,-4,12/01/2023 23:37:54,92237,23,task-72p4,,26357895,BLIND,7780756,,complete,,63c0d0a24ec46554428f7ab0,mobile,undefined undefined,Android 11,Firefox 108.0,880x396,799x306,,Audio Naming Task,27,Block 9-B,soundCheckPassed,9-B,9-B,123,3,2,Screen 1,Zone1,response_button_text,5999,,,a,1,0,1,0,,,,,1,Trial (Noise),i_subj73_m_quite_95.wav,Babble_053.wav,i,1,,9-B,noise,subj73,m,quite,95
