Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673590126671,13/01/2023 06:08:46,1673590126008,-8,12/01/2023 22:08:46,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673590129974,13/01/2023 06:08:49,1673590129328,-8,12/01/2023 22:08:49,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,1,1,1,Screen 1,advancementZone,continue_button,3207.2999999988824,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673590130300,13/01/2023 06:08:50,1673590129662,-8,12/01/2023 22:08:49,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,13,1,1,Screen 2,fixation,fixation,351.7439999999997,,,,,0,1,0,,,,,1,Trial (Noise),a_subj18_f_paso_180.wav,Babble_101.wav,a,1,,8-B,noise,subj18,f,paso,180
4,1673590130509,13/01/2023 06:08:50,1673590129740,-8,12/01/2023 22:08:49,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,13,1,2,Screen 1,Zone6,content_web_audio,6.900000000372529,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj18_f_paso_180.wav,Babble_101.wav,a,1,,8-B,noise,subj18,f,paso,180
5,1673590130509,13/01/2023 06:08:50,1673590129742,-8,12/01/2023 22:08:49,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,13,1,2,Screen 1,Zone8,content_web_audio,8.599999999627471,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj18_f_paso_180.wav,Babble_101.wav,a,1,,8-B,noise,subj18,f,paso,180
6,1673590130509,13/01/2023 06:08:50,1673590129743,-8,12/01/2023 22:08:49,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,13,1,2,Screen 1,Zone7,content_web_audio,10,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj18_f_paso_180.wav,Babble_101.wav,a,1,,8-B,noise,subj18,f,paso,180
7,1673590132229,13/01/2023 06:08:52,1673590131604,-8,12/01/2023 22:08:51,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,13,1,2,Screen 1,Zone1,response_button_text,1868.5999999996275,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj18_f_paso_180.wav,Babble_101.wav,a,1,,8-B,noise,subj18,f,paso,180
8,1673590132555,13/01/2023 06:08:52,1673590131952,-8,12/01/2023 22:08:51,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,137,2,1,Screen 2,fixation,fixation,368.4480000000003,,,,,0,1,0,,,,,1,Trial (Noise),o_subj17_f_toco_282.wav,Babble_043.wav,o,1,,8-B,noise,subj17,f,toco,282
9,1673590132775,13/01/2023 06:08:52,1673590132006,-8,12/01/2023 22:08:52,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,137,2,2,Screen 1,Zone6,content_web_audio,4.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj17_f_toco_282.wav,Babble_043.wav,o,1,,8-B,noise,subj17,f,toco,282
10,1673590132775,13/01/2023 06:08:52,1673590132007,-8,12/01/2023 22:08:52,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,137,2,2,Screen 1,Zone8,content_web_audio,5.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj17_f_toco_282.wav,Babble_043.wav,o,1,,8-B,noise,subj17,f,toco,282
11,1673590132775,13/01/2023 06:08:52,1673590132008,-8,12/01/2023 22:08:52,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,137,2,2,Screen 1,Zone7,content_web_audio,6.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj17_f_toco_282.wav,Babble_043.wav,o,1,,8-B,noise,subj17,f,toco,282
12,1673590134482,13/01/2023 06:08:54,1673590133859,-8,12/01/2023 22:08:53,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,137,2,2,Screen 1,Zone3,response_button_text,1855.5,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj17_f_toco_282.wav,Babble_043.wav,o,1,,8-B,noise,subj17,f,toco,282
13,1673590134799,13/01/2023 06:08:54,1673590134197,-8,12/01/2023 22:08:54,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,66,3,1,Screen 2,fixation,fixation,351.65099999999984,,,,,0,1,0,,,,,1,Trial (Noise),e_subj21_f_peca_101.wav,Babble_066.wav,e,1,,8-B,noise,subj21,f,peca,101
14,1673590135018,13/01/2023 06:08:55,1673590134250,-8,12/01/2023 22:08:54,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,66,3,2,Screen 1,Zone6,content_web_audio,4.699999999254942,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj21_f_peca_101.wav,Babble_066.wav,e,1,,8-B,noise,subj21,f,peca,101
15,1673590135018,13/01/2023 06:08:55,1673590134251,-8,12/01/2023 22:08:54,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,66,3,2,Screen 1,Zone8,content_web_audio,5.900000000372529,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj21_f_peca_101.wav,Babble_066.wav,e,1,,8-B,noise,subj21,f,peca,101
16,1673590135018,13/01/2023 06:08:55,1673590134252,-8,12/01/2023 22:08:54,92237,23,task-84t6,,26358200,BLIND,7780842,,complete,,63c0f42638671228dea597a4,mobile,Google Pixel 3a,Android 12,Chrome 108.0.0.0,808x393,760x309,,Audio Naming Task,27,Block 8-B,soundCheckPassed,8-B,8-B,66,3,2,Screen 1,Zone7,content_web_audio,7,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj21_f_peca_101.wav,Babble_066.wav,e,1,,8-B,noise,subj21,f,peca,101
