Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1673574547122,13/01/2023 01:49:07,1673574549215,-6,12/01/2023 19:49:09,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1673574556252,13/01/2023 01:49:16,1673574558379,-6,12/01/2023 19:49:18,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9123.39999999851,,,,,0,1,0,,,,,,Instructions,
3,1673574558172,13/01/2023 01:49:18,1673574560311,-6,12/01/2023 19:49:20,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1919.8000000044703,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1673574559849,13/01/2023 01:49:19,1673574561996,-6,12/01/2023 19:49:21,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,3603.3000000044703,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1673574561295,13/01/2023 01:49:21,1673574563427,-6,12/01/2023 19:49:23,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1423.5,,,,,0,1,0,,,,,,Audio Check,cura
6,1673574561435,13/01/2023 01:49:21,1673574563430,-6,12/01/2023 19:49:23,92237,23,task-gkan,,26357388,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Check,10,Block 5-A,soundCheckPassed,Spreadsheet1,,,END TASK,,,,,14215,,,,,0,1,0,,,,,,,
1,1673575913384,13/01/2023 02:11:53,1673575913212,-5,12/01/2023 21:11:53,92237,23,task-gkan,,26357539,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Audio Check,10,Block 4-B,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1673575936794,13/01/2023 02:12:16,1673575936662,-5,12/01/2023 21:12:16,92237,23,task-gkan,,26357539,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Audio Check,10,Block 4-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,23416.300000000745,,,,,0,1,0,,,,,,Instructions,
3,1673575938843,13/01/2023 02:12:18,1673575938717,-5,12/01/2023 21:12:18,92237,23,task-gkan,,26357539,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Audio Check,10,Block 4-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2048.699999999255,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1673575940095,13/01/2023 02:12:20,1673575939969,-5,12/01/2023 21:12:19,92237,23,task-gkan,,26357539,BLIND,7780688,,complete,,63c0bd380744f07b22a56386,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1440x789,,Audio Check,10,Block 4-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3301.300000000745,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
