Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673574632413,13/01/2023 01:50:32,1673574634510,-6,12/01/2023 19:50:34,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673574634731,13/01/2023 01:50:34,1673574636852,-6,12/01/2023 19:50:36,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,1,1,1,Screen 1,advancementZone,continue_button,2283.39999999851,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673574635069,13/01/2023 01:50:35,1673574637199,-6,12/01/2023 19:50:37,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,107,1,1,Screen 2,fixation,fixation,350.02199999999993,,,,,0,1,0,,,,,1,Trial (Noise),i_subj29_m_quita_93.wav,Babble_054.wav,i,1,,5-A,noise,subj29,m,quita,93
4,1673574635211,13/01/2023 01:50:35,1673574637219,-6,12/01/2023 19:50:37,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,107,1,2,Screen 1,Zone6,content_web_audio,2.2000000029802322,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj29_m_quita_93.wav,Babble_054.wav,i,1,,5-A,noise,subj29,m,quita,93
5,1673574635211,13/01/2023 01:50:35,1673574637220,-6,12/01/2023 19:50:37,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,107,1,2,Screen 1,Zone8,content_web_audio,2.899999998509884,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj29_m_quita_93.wav,Babble_054.wav,i,1,,5-A,noise,subj29,m,quita,93
6,1673574635211,13/01/2023 01:50:35,1673574637221,-6,12/01/2023 19:50:37,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,107,1,2,Screen 1,Zone7,content_web_audio,3.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj29_m_quita_93.wav,Babble_054.wav,i,1,,5-A,noise,subj29,m,quita,93
7,1673574638070,13/01/2023 01:50:38,1673574640208,-6,12/01/2023 19:50:40,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,107,1,2,Screen 1,Zone1,response_button_text,2989.7999999970198,,,a,1,0,1,0,,,,,1,Trial (Noise),i_subj29_m_quita_93.wav,Babble_054.wav,i,1,,5-A,noise,subj29,m,quita,93
8,1673574638422,13/01/2023 01:50:38,1673574640550,-6,12/01/2023 19:50:40,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,67,2,1,Screen 2,fixation,fixation,350.0010000000002,,,,,0,1,0,,,,,1,Trial (Noise),e_subj19_f_veto_105.wav,Babble_129.wav,e,1,,5-A,noise,subj19,f,veto,105
9,1673574638575,13/01/2023 01:50:38,1673574640567,-6,12/01/2023 19:50:40,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,67,2,2,Screen 1,Zone6,content_web_audio,1.7000000029802322,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj19_f_veto_105.wav,Babble_129.wav,e,1,,5-A,noise,subj19,f,veto,105
10,1673574638575,13/01/2023 01:50:38,1673574640568,-6,12/01/2023 19:50:40,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,67,2,2,Screen 1,Zone8,content_web_audio,2.399999998509884,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj19_f_veto_105.wav,Babble_129.wav,e,1,,5-A,noise,subj19,f,veto,105
11,1673574638575,13/01/2023 01:50:38,1673574640568,-6,12/01/2023 19:50:40,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,67,2,2,Screen 1,Zone7,content_web_audio,3.100000001490116,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj19_f_veto_105.wav,Babble_129.wav,e,1,,5-A,noise,subj19,f,veto,105
12,1673574639986,13/01/2023 01:50:39,1673574642119,-6,12/01/2023 19:50:42,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,67,2,2,Screen 1,Zone5,response_button_text,1553.5,,,e,1,1,0,0,,,,,1,Trial (Noise),e_subj19_f_veto_105.wav,Babble_129.wav,e,1,,5-A,noise,subj19,f,veto,105
