Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673583155070,13/01/2023 04:12:35,1673583154818,-5,12/01/2023 23:12:34,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673583158259,13/01/2023 04:12:38,1673583158047,-5,12/01/2023 23:12:38,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,1,1,1,Screen 1,advancementZone,continue_button,3139.4000000003725,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673583158569,13/01/2023 04:12:38,1673583158385,-5,12/01/2023 23:12:38,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,146,1,1,Screen 2,fixation,fixation,350.0070000000005,,,,,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toque_139.wav,Babble_055.wav,o,1,,8-A,noise,subj74,m,toque,139
4,1673583158688,13/01/2023 04:12:38,1673583158407,-5,12/01/2023 23:12:38,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,146,1,2,Screen 1,Zone6,content_web_audio,2.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toque_139.wav,Babble_055.wav,o,1,,8-A,noise,subj74,m,toque,139
5,1673583158688,13/01/2023 04:12:38,1673583158408,-5,12/01/2023 23:12:38,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,146,1,2,Screen 1,Zone8,content_web_audio,3.099999999627471,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toque_139.wav,Babble_055.wav,o,1,,8-A,noise,subj74,m,toque,139
6,1673583158688,13/01/2023 04:12:38,1673583158408,-5,12/01/2023 23:12:38,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,146,1,2,Screen 1,Zone7,content_web_audio,3.599999999627471,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj74_m_toque_139.wav,Babble_055.wav,o,1,,8-A,noise,subj74,m,toque,139
7,1673583161590,13/01/2023 04:12:41,1673583161343,-5,12/01/2023 23:12:41,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,146,1,2,Screen 1,Zone3,response_button_text,2936.7999999998137,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj74_m_toque_139.wav,Babble_055.wav,o,1,,8-A,noise,subj74,m,toque,139
8,1673583161878,13/01/2023 04:12:41,1673583161686,-5,12/01/2023 23:12:41,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,108,2,1,Screen 2,fixation,fixation,350.0069999999996,,,,,0,1,0,,,,,1,Trial (Noise),i_subj78_m_pico_48.wav,Babble_108.wav,i,1,,8-A,noise,subj78,m,pico,48
9,1673583162001,13/01/2023 04:12:42,1673583161708,-5,12/01/2023 23:12:41,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,108,2,2,Screen 1,Zone6,content_web_audio,2.2999999998137355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_pico_48.wav,Babble_108.wav,i,1,,8-A,noise,subj78,m,pico,48
10,1673583162001,13/01/2023 04:12:42,1673583161709,-5,12/01/2023 23:12:41,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,108,2,2,Screen 1,Zone8,content_web_audio,3.599999999627471,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_pico_48.wav,Babble_108.wav,i,1,,8-A,noise,subj78,m,pico,48
11,1673583162001,13/01/2023 04:12:42,1673583161710,-5,12/01/2023 23:12:41,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,108,2,2,Screen 1,Zone7,content_web_audio,4.2000000001862645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_pico_48.wav,Babble_108.wav,i,1,,8-A,noise,subj78,m,pico,48
12,1673583163361,13/01/2023 04:12:43,1673583163163,-5,12/01/2023 23:12:43,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,108,2,2,Screen 1,Zone4,response_button_text,1455.3999999994412,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj78_m_pico_48.wav,Babble_108.wav,i,1,,8-A,noise,subj78,m,pico,48
13,1673583163743,13/01/2023 04:12:43,1673583163505,-5,12/01/2023 23:12:43,92237,23,task-kixw,,26357977,BLIND,7780776,,complete,,63c0d7cb6c7d534ab990638b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1152x763,,Audio Naming Task,27,Block 8-A,soundCheckPassed,8-A,8-A,51,3,1,Screen 2,fixation,fixation,350.0069999999996,,,,,0,1,0,,,,,1,Trial (Noise),e_subj68_m_peca_307.wav,Babble_020.wav,e,1,,8-A,noise,subj68,m,peca,307
