Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673595004545,13/01/2023 07:30:04,1673595004824,-8,12/01/2023 23:30:04,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673595008123,13/01/2023 07:30:08,1673595008409,-8,12/01/2023 23:30:08,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,1,1,1,Screen 1,advancementZone,continue_button,3496,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673595008508,13/01/2023 07:30:08,1673595008785,-8,12/01/2023 23:30:08,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,54,1,1,Screen 2,fixation,fixation,400.04699999999957,,,,,0,1,0,,,,,1,Trial (Noise),e_subj78_m_seco_193.wav,Babble_155.wav,e,1,,2-B,noise,subj78,m,seco,193
4,1673595008699,13/01/2023 07:30:08,1673595008841,-8,12/01/2023 23:30:08,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,54,1,2,Screen 1,Zone6,content_web_audio,6.099999904632568,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj78_m_seco_193.wav,Babble_155.wav,e,1,,2-B,noise,subj78,m,seco,193
5,1673595008699,13/01/2023 07:30:08,1673595008843,-8,12/01/2023 23:30:08,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,54,1,2,Screen 1,Zone8,content_web_audio,8,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj78_m_seco_193.wav,Babble_155.wav,e,1,,2-B,noise,subj78,m,seco,193
6,1673595008699,13/01/2023 07:30:08,1673595008845,-8,12/01/2023 23:30:08,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,54,1,2,Screen 1,Zone7,content_web_audio,10.300000190734863,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj78_m_seco_193.wav,Babble_155.wav,e,1,,2-B,noise,subj78,m,seco,193
7,1673595015699,13/01/2023 07:30:15,1673595015978,-8,12/01/2023 23:30:15,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,54,1,2,Screen 1,Zone4,response_button_text,7140.599999904633,,,i,1,0,1,0,,,,,1,Trial (Noise),e_subj78_m_seco_193.wav,Babble_155.wav,e,1,,2-B,noise,subj78,m,seco,193
8,1673595016066,13/01/2023 07:30:16,1673595016369,-8,12/01/2023 23:30:16,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,191,2,1,Screen 2,fixation,fixation,400.2610000000004,,,,,0,1,0,,,,,1,Trial (Noise),u_subj2_f_pura_183.wav,Babble_019.wav,u,1,,2-B,noise,subj2,f,pura,183
9,1673595016266,13/01/2023 07:30:16,1673595016440,-8,12/01/2023 23:30:16,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,191,2,2,Screen 1,Zone6,content_web_audio,9.699999809265137,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj2_f_pura_183.wav,Babble_019.wav,u,1,,2-B,noise,subj2,f,pura,183
10,1673595016266,13/01/2023 07:30:16,1673595016442,-8,12/01/2023 23:30:16,92237,23,task-krt3,,26358400,BLIND,7780900,,complete,,63c107c86bed24639f165891,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x884,,Audio Naming Task,27,Block 2-B,soundCheckPassed,2-B,2-B,191,2,2,Screen 1,Zone8,content_web_audio,11.699999809265137,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj2_f_pura_183.wav,Babble_019.wav,u,1,,2-B,noise,subj2,f,pura,183
