Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673574985834,13/01/2023 01:56:25,1673574986108,-6,12/01/2023 19:56:26,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673575017941,13/01/2023 01:56:57,1673575018250,-6,12/01/2023 19:56:58,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,1,1,1,Screen 1,advancementZone,continue_button,32092.60000000149,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673575018272,13/01/2023 01:56:58,1673575018586,-6,12/01/2023 19:56:58,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,114,1,1,Screen 2,fixation,fixation,347.26400000000285,,,,,0,1,0,,,,,1,Trial (Noise),i_subj9_m_pisa_220.wav,Babble_033.wav,i,1,,4-A,noise,subj9,m,pisa,220
4,1673575018463,13/01/2023 01:56:58,1673575018615,-6,12/01/2023 19:56:58,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,114,1,2,Screen 1,Zone6,content_web_audio,4.300000000745058,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj9_m_pisa_220.wav,Babble_033.wav,i,1,,4-A,noise,subj9,m,pisa,220
5,1673575018463,13/01/2023 01:56:58,1673575018616,-6,12/01/2023 19:56:58,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,114,1,2,Screen 1,Zone8,content_web_audio,5.199999999254942,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj9_m_pisa_220.wav,Babble_033.wav,i,1,,4-A,noise,subj9,m,pisa,220
6,1673575018463,13/01/2023 01:56:58,1673575018617,-6,12/01/2023 19:56:58,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,114,1,2,Screen 1,Zone7,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj9_m_pisa_220.wav,Babble_033.wav,i,1,,4-A,noise,subj9,m,pisa,220
7,1673575027732,13/01/2023 01:57:07,1673575028058,-6,12/01/2023 19:57:08,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,114,1,2,Screen 1,Zone5,response_button_text,9446.10000000149,,,e,1,0,1,0,,,,,1,Trial (Noise),i_subj9_m_pisa_220.wav,Babble_033.wav,i,1,,4-A,noise,subj9,m,pisa,220
8,1673575028062,13/01/2023 01:57:08,1673575028390,-6,12/01/2023 19:57:08,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,89,2,1,Screen 2,fixation,fixation,347.47299999999814,,,,,0,1,0,,,,,1,Trial (Noise),i_subj46_f_pica_96.wav,Babble_020.wav,i,1,,4-A,noise,subj46,f,pica,96
9,1673575028227,13/01/2023 01:57:08,1673575028408,-6,12/01/2023 19:57:08,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,89,2,2,Screen 1,Zone6,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj46_f_pica_96.wav,Babble_020.wav,i,1,,4-A,noise,subj46,f,pica,96
10,1673575028227,13/01/2023 01:57:08,1673575028409,-6,12/01/2023 19:57:08,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,89,2,2,Screen 1,Zone8,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj46_f_pica_96.wav,Babble_020.wav,i,1,,4-A,noise,subj46,f,pica,96
