Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1673579780798,13/01/2023 03:16:20,1673579780646,-5,12/01/2023 22:16:20,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1673579783572,13/01/2023 03:16:23,1673579783484,-5,12/01/2023 22:16:23,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,1,1,1,Screen 1,advancementZone,continue_button,2759.600000000559,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1673579783909,13/01/2023 03:16:23,1673579783833,-5,12/01/2023 22:16:23,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,201,1,1,Screen 2,fixation,fixation,351.7289999999998,,,,,0,1,0,,,,,1,Trial (Noise),u_subj28_f_puso_279.wav,Babble_082.wav,u,1,,6-B,noise,subj28,f,puso,279
4,1673579784070,13/01/2023 03:16:24,1673579783864,-5,12/01/2023 22:16:23,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,201,1,2,Screen 1,Zone6,content_web_audio,3.2999999998137355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj28_f_puso_279.wav,Babble_082.wav,u,1,,6-B,noise,subj28,f,puso,279
5,1673579784070,13/01/2023 03:16:24,1673579783865,-5,12/01/2023 22:16:23,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,201,1,2,Screen 1,Zone8,content_web_audio,4.2000000001862645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj28_f_puso_279.wav,Babble_082.wav,u,1,,6-B,noise,subj28,f,puso,279
6,1673579784070,13/01/2023 03:16:24,1673579783865,-5,12/01/2023 22:16:23,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,201,1,2,Screen 1,Zone7,content_web_audio,4.7000000001862645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj28_f_puso_279.wav,Babble_082.wav,u,1,,6-B,noise,subj28,f,puso,279
7,1673579816271,13/01/2023 03:16:56,1673579816177,-5,12/01/2023 22:16:56,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,201,1,2,Screen 1,Zone5,response_button_text,32315.39999999944,,,e,1,0,1,0,,,,,1,Trial (Noise),u_subj28_f_puso_279.wav,Babble_082.wav,u,1,,6-B,noise,subj28,f,puso,279
8,1673579816593,13/01/2023 03:16:56,1673579816513,-5,12/01/2023 22:16:56,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,110,2,1,Screen 2,fixation,fixation,351.72899999999936,,,,,0,1,0,,,,,1,Trial (Noise),i_subj31_m_pico_392.wav,Babble_005.wav,i,1,,6-B,noise,subj31,m,pico,392
9,1673579816764,13/01/2023 03:16:56,1673579816540,-5,12/01/2023 22:16:56,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,110,2,2,Screen 1,Zone6,content_web_audio,2.2999999998137355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj31_m_pico_392.wav,Babble_005.wav,i,1,,6-B,noise,subj31,m,pico,392
10,1673579816764,13/01/2023 03:16:56,1673579816541,-5,12/01/2023 22:16:56,92237,23,task-u371,,26357823,BLIND,7780740,,complete,,63c0cc2887eb0d76eb34a14a,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 109.0.0.0,1440x900,1356x727,,Audio Naming Task,27,Block 6-B,soundCheckPassed,6-B,6-B,110,2,2,Screen 1,Zone8,content_web_audio,3.3999999994412065,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj31_m_pico_392.wav,Babble_005.wav,i,1,,6-B,noise,subj31,m,pico,392
