Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,group,block,subject,gender,word,token_num
1,1.66613E+12,18/10/2022 21:18:40,1.66613E+12,-7,18/10/2022 14:18:39,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1.66613E+12,18/10/2022 21:18:45,1.66613E+12,-7,18/10/2022 14:18:44,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,1,1,1,Screen 1,advancementZone,continue_button,4872.6,null,,null,,0,1,0,null,null,FALSE,,,Start Screen,,,,,,,,,
3,1.66613E+12,18/10/2022 21:18:45,1.66613E+12,-7,18/10/2022 14:18:44,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,123,1,1,Screen 2,fixation,fixation,350.427,null,,null,,0,1,0,null,null,FALSE,,1,Trial (Noise),o_subj12_f_cosa_36.wav,Babble_095.wav,o,8-A,noise,subj12,f,cosa,36
4,1.66613E+12,18/10/2022 21:18:45,1.66613E+12,-7,18/10/2022 14:18:44,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,123,1,2,Screen 1,Zone6,content_web_audio,3.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj12_f_cosa_36.wav,Babble_095.wav,o,8-A,noise,subj12,f,cosa,36
5,1.66613E+12,18/10/2022 21:18:45,1.66613E+12,-7,18/10/2022 14:18:44,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,123,1,2,Screen 1,Zone8,content_web_audio,4.299999999,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj12_f_cosa_36.wav,Babble_095.wav,o,8-A,noise,subj12,f,cosa,36
6,1.66613E+12,18/10/2022 21:18:45,1.66613E+12,-7,18/10/2022 14:18:44,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,123,1,2,Screen 1,Zone7,content_web_audio,5.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj12_f_cosa_36.wav,Babble_095.wav,o,8-A,noise,subj12,f,cosa,36
8,1.66613E+12,18/10/2022 21:18:47,1.66613E+12,-7,18/10/2022 14:18:46,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,149,2,1,Screen 2,fixation,fixation,350.427,null,,null,,0,1,0,null,null,FALSE,,1,Trial (Noise),o_subj71_m_bota_138.wav,Babble_072.wav,o,8-A,noise,subj71,m,bota,138
9,1.66613E+12,18/10/2022 21:18:47,1.66613E+12,-7,18/10/2022 14:18:46,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,149,2,2,Screen 1,Zone6,content_web_audio,2.299999999,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj71_m_bota_138.wav,Babble_072.wav,o,8-A,noise,subj71,m,bota,138
10,1.66613E+12,18/10/2022 21:18:47,1.66613E+12,-7,18/10/2022 14:18:46,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,149,2,2,Screen 1,Zone8,content_web_audio,3.199999999,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj71_m_bota_138.wav,Babble_072.wav,o,8-A,noise,subj71,m,bota,138
11,1.66613E+12,18/10/2022 21:18:47,1.66613E+12,-7,18/10/2022 14:18:46,92237,16,task-kixw,,24671185,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Audio Naming Task,20,Block 8-A,soundCheckPassed,8-A,8-A,149,2,2,Screen 1,Zone7,content_web_audio,4.199999999,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),o_subj71_m_bota_138.wav,Babble_072.wav,o,8-A,noise,subj71,m,bota,138
