Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1669949455327,02/12/2022 02:50:55,1669949455085,-5,01/12/2022 21:50:55,92237,21,questionnaire-7e5k,,25622209,BLIND,7588833,,complete,,638967ff45c4e299ece7cc0c,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1571x908,,Consent,6,Block 2-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669949483998,02/12/2022 02:51:23,1669949483776,-5,01/12/2022 21:51:23,92237,21,questionnaire-7e5k,,25622209,BLIND,7588833,,complete,,638967ff45c4e299ece7cc0c,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1554x908,,Consent,6,Block 2-A,soundCheckPassed,No,response-1,1
3,1669949484111,02/12/2022 02:51:24,1669949483777,-5,01/12/2022 21:51:23,92237,21,questionnaire-7e5k,,25622209,BLIND,7588833,,complete,,638967ff45c4e299ece7cc0c,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1554x908,,Consent,6,Block 2-A,soundCheckPassed,No,END QUESTIONNAIRE,28692
1,1669951826493,02/12/2022 03:30:26,1669951827363,-7,01/12/2022 20:30:27,92237,21,questionnaire-7e5k,,25622368,BLIND,7588866,,complete,,6389714868b6051529c318a9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 107.0.0.0,1440x900,1440x722,,Consent,6,Block 1-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669951836573,02/12/2022 03:30:36,1669951837474,-7,01/12/2022 20:30:37,92237,21,questionnaire-7e5k,,25622368,BLIND,7588866,,complete,,6389714868b6051529c318a9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 107.0.0.0,1440x900,1440x722,,Consent,6,Block 1-B,soundCheckPassed,No,response-1,1
3,1669951836743,02/12/2022 03:30:36,1669951837477,-7,01/12/2022 20:30:37,92237,21,questionnaire-7e5k,,25622368,BLIND,7588866,,complete,,6389714868b6051529c318a9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 107.0.0.0,1440x900,1440x722,,Consent,6,Block 1-B,soundCheckPassed,No,END QUESTIONNAIRE,10114
1,1669952770206,02/12/2022 03:46:10,1669952769936,-8,01/12/2022 19:46:09,92237,21,questionnaire-7e5k,,25622424,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Consent,6,Block 5-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669952778562,02/12/2022 03:46:18,1669952778323,-8,01/12/2022 19:46:18,92237,21,questionnaire-7e5k,,25622424,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,886x415,,Consent,6,Block 5-A,soundCheckPassed,No,response-1,1
3,1669952778771,02/12/2022 03:46:18,1669952778326,-8,01/12/2022 19:46:18,92237,21,questionnaire-7e5k,,25622424,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,886x415,,Consent,6,Block 5-A,soundCheckPassed,No,END QUESTIONNAIRE,8390
1,1669952779220,02/12/2022 03:46:19,1669952778704,-6,01/12/2022 21:46:18,92237,21,questionnaire-7e5k,,25622425,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,414x714,,Consent,6,Block 6-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
