Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669949908072,02/12/2022 02:58:28,1669949907890,-8,01/12/2022 18:58:27,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669949950135,02/12/2022 02:59:10,1669949950015,-8,01/12/2022 18:59:10,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,1,1,1,Screen 1,advancementZone,continue_button,42088,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669949950448,02/12/2022 02:59:10,1669949950337,-8,01/12/2022 18:59:10,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,1,Screen 2,fixation,fixation,716,,,,,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
4,1669949950648,02/12/2022 02:59:10,1669949950352,-8,01/12/2022 18:59:10,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,2,Screen 1,Zone6,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
5,1669949950648,02/12/2022 02:59:10,1669949950353,-8,01/12/2022 18:59:10,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,2,Screen 1,Zone8,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
6,1669949950648,02/12/2022 02:59:10,1669949950353,-8,01/12/2022 18:59:10,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,2,Screen 1,Zone7,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
7,1669949957864,02/12/2022 02:59:17,1669949957432,-8,01/12/2022 18:59:17,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,2,Screen 1,Zone7,content_web_audio,7083,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
8,1669949969047,02/12/2022 02:59:29,1669949968931,-8,01/12/2022 18:59:28,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,164,1,2,Screen 1,Zone4,response_button_text,18581,,,i,1,0,1,0,,,,,1,Trial (Noise),u_subj15_m_buque_163.wav,Babble_165.wav,u,1,,8-B,noise,subj15,m,buque,163
9,1669949969378,02/12/2022 02:59:29,1669949969271,-8,01/12/2022 18:59:29,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,94,2,1,Screen 2,fixation,fixation,350,,,,,0,1,0,,,,,1,Trial (Noise),i_subj19_f_quito_219.wav,Babble_172.wav,i,1,,8-B,noise,subj19,f,quito,219
10,1669949969556,02/12/2022 02:59:29,1669949969285,-8,01/12/2022 18:59:29,92237,21,task-84t6,,25622260,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Audio Naming Task,26,Block 8-B,soundCheckPassed,8-B,8-B,94,2,2,Screen 1,Zone6,content_web_audio,1.000000000007276,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj19_f_quito_219.wav,Babble_172.wav,i,1,,8-B,noise,subj19,f,quito,219
