Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669949660558,02/12/2022 02:54:20,1669949658155,-8,01/12/2022 18:54:18,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669949663423,02/12/2022 02:54:23,1669949661054,-8,01/12/2022 18:54:21,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,1,1,1,Screen 1,advancementZone,continue_button,2857,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669949663766,02/12/2022 02:54:23,1669949661400,-8,01/12/2022 18:54:21,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,83,1,1,Screen 2,fixation,fixation,350.47999999999956,,,,,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pite_259.wav,Babble_022.wav,i,1,,0-B,noise,subj38,f,pite,259
4,1669949664006,02/12/2022 02:54:24,1669949661413,-8,01/12/2022 18:54:21,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,83,1,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pite_259.wav,Babble_022.wav,i,1,,0-B,noise,subj38,f,pite,259
5,1669949664006,02/12/2022 02:54:24,1669949661413,-8,01/12/2022 18:54:21,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,83,1,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pite_259.wav,Babble_022.wav,i,1,,0-B,noise,subj38,f,pite,259
6,1669949664006,02/12/2022 02:54:24,1669949661414,-8,01/12/2022 18:54:21,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,83,1,2,Screen 1,Zone7,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pite_259.wav,Babble_022.wav,i,1,,0-B,noise,subj38,f,pite,259
7,1669949665214,02/12/2022 02:54:25,1669949662865,-8,01/12/2022 18:54:22,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,83,1,2,Screen 1,Zone4,response_button_text,1454,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj38_f_pite_259.wav,Babble_022.wav,i,1,,0-B,noise,subj38,f,pite,259
8,1669949665554,02/12/2022 02:54:25,1669949663199,-8,01/12/2022 18:54:23,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,90,2,1,Screen 2,fixation,fixation,349.65999999999985,,,,,0,1,0,,,,,1,Trial (Noise),i_subj46_f_quita_135.wav,Babble_104.wav,i,1,,0-B,noise,subj46,f,quita,135
9,1669949666037,02/12/2022 02:54:26,1669949663209,-8,01/12/2022 18:54:23,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,90,2,2,Screen 1,Zone6,content_web_audio,0,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj46_f_quita_135.wav,Babble_104.wav,i,1,,0-B,noise,subj46,f,quita,135
10,1669949666037,02/12/2022 02:54:26,1669949663210,-8,01/12/2022 18:54:23,92237,21,task-8hhu,,25622232,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Audio Naming Task,26,Block 0-B,soundCheckPassed,0-B,0-B,90,2,2,Screen 1,Zone8,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj46_f_quita_135.wav,Babble_104.wav,i,1,,0-B,noise,subj46,f,quita,135
