Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669952968040,02/12/2022 03:49:28,1669952967505,-6,01/12/2022 21:49:27,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669952970535,02/12/2022 03:49:30,1669952970028,-6,01/12/2022 21:49:30,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,1,1,1,Screen 1,advancementZone,continue_button,2479,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669952970735,02/12/2022 03:49:30,1669952970389,-6,01/12/2022 21:49:30,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,136,1,1,Screen 2,fixation,fixation,365,,,,,0,1,0,,,,,1,Trial (Noise),o_subj16_f_bote_162.wav,Babble_121.wav,o,1,,6-A,noise,subj16,f,bote,162
4,1669952970735,02/12/2022 03:49:30,1669952970419,-6,01/12/2022 21:49:30,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,136,1,2,Screen 1,Zone6,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj16_f_bote_162.wav,Babble_121.wav,o,1,,6-A,noise,subj16,f,bote,162
5,1669952970735,02/12/2022 03:49:30,1669952970420,-6,01/12/2022 21:49:30,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,136,1,2,Screen 1,Zone8,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj16_f_bote_162.wav,Babble_121.wav,o,1,,6-A,noise,subj16,f,bote,162
6,1669952970735,02/12/2022 03:49:30,1669952970421,-6,01/12/2022 21:49:30,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,136,1,2,Screen 1,Zone7,content_web_audio,7.0000000000009095,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj16_f_bote_162.wav,Babble_121.wav,o,1,,6-A,noise,subj16,f,bote,162
7,1669952971978,02/12/2022 03:49:31,1669952971520,-6,01/12/2022 21:49:31,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,136,1,2,Screen 1,Zone3,response_button_text,1105,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj16_f_bote_162.wav,Babble_121.wav,o,1,,6-A,noise,subj16,f,bote,162
8,1669952972201,02/12/2022 03:49:32,1669952971856,-6,01/12/2022 21:49:31,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,94,2,1,Screen 2,fixation,fixation,366,,,,,0,1,0,,,,,1,Trial (Noise),i_subj41_f_piso_123.wav,Babble_097.wav,i,1,,6-A,noise,subj41,f,piso,123
9,1669952972201,02/12/2022 03:49:32,1669952971875,-6,01/12/2022 21:49:31,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,94,2,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj41_f_piso_123.wav,Babble_097.wav,i,1,,6-A,noise,subj41,f,piso,123
10,1669952972201,02/12/2022 03:49:32,1669952971876,-6,01/12/2022 21:49:31,92237,21,task-bsko,,25622444,BLIND,7588880,,complete,,638974fc642773387b0fa186,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,800x364,,Audio Naming Task,26,Block 6-A,soundCheckPassed,6-A,6-A,94,2,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj41_f_piso_123.wav,Babble_097.wav,i,1,,6-A,noise,subj41,f,piso,123
