Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1669947764428,02/12/2022 02:22:44,1669947765764,-6,01/12/2022 20:22:45,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1669947787840,02/12/2022 02:23:07,1669947789045,-6,01/12/2022 20:23:09,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,23240.69999998808,,,,,0,1,0,,,,,,Instructions,
3,1669947789632,02/12/2022 02:23:09,1669947790832,-6,01/12/2022 20:23:10,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1775.1000000089407,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1669947792028,02/12/2022 02:23:12,1669947793251,-6,01/12/2022 20:23:13,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4193.100000008941,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1669947793380,02/12/2022 02:23:13,1669947794715,-6,01/12/2022 20:23:14,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1457.3999999910593,,,,,0,1,0,,,,,,Audio Check,cura
6,1669947793535,02/12/2022 02:23:13,1669947794718,-6,01/12/2022 20:23:14,92237,21,task-gkan,,25622075,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Check,10,Block 7-B,soundCheckPassed,Spreadsheet1,,,END TASK,,,,,28954,,,,,0,1,0,,,,,,,
1,1669947960184,02/12/2022 02:26:00,1669947959837,-6,01/12/2022 20:25:59,92237,21,task-gkan,,25622094,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1317x637,,Audio Check,10,Block 3-A,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1669948022879,02/12/2022 02:27:02,1669948022557,-6,01/12/2022 20:27:02,92237,21,task-gkan,,25622094,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Check,10,Block 3-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,62694.60000002384,,,,,0,1,0,,,,,,Instructions,
3,1669948025013,02/12/2022 02:27:05,1669948024727,-6,01/12/2022 20:27:04,92237,21,task-gkan,,25622094,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Check,10,Block 3-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2153.8000000715256,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1669948027004,02/12/2022 02:27:07,1669948026712,-6,01/12/2022 20:27:06,92237,21,task-gkan,,25622094,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Audio Check,10,Block 3-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4137.300000071526,,,cura,1,1,0,0,,,,,,Audio Check,cura
