Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669953081743,02/12/2022 03:51:21,1669953081467,-8,01/12/2022 19:51:21,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669953086336,02/12/2022 03:51:26,1669953086094,-8,01/12/2022 19:51:26,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,1,1,1,Screen 1,advancementZone,continue_button,4564,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669953086688,02/12/2022 03:51:26,1669953086430,-8,01/12/2022 19:51:26,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,94,1,1,Screen 2,fixation,fixation,349.84000000000015,,,,,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pica_161.wav,Babble_067.wav,i,1,,5-A,noise,subj37,f,pica,161
4,1669953086929,02/12/2022 03:51:26,1669953086454,-8,01/12/2022 19:51:26,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,94,1,2,Screen 1,Zone6,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pica_161.wav,Babble_067.wav,i,1,,5-A,noise,subj37,f,pica,161
5,1669953086929,02/12/2022 03:51:26,1669953086454,-8,01/12/2022 19:51:26,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,94,1,2,Screen 1,Zone8,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pica_161.wav,Babble_067.wav,i,1,,5-A,noise,subj37,f,pica,161
6,1669953086929,02/12/2022 03:51:26,1669953086455,-8,01/12/2022 19:51:26,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,94,1,2,Screen 1,Zone7,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pica_161.wav,Babble_067.wav,i,1,,5-A,noise,subj37,f,pica,161
7,1669953087909,02/12/2022 03:51:27,1669953087676,-8,01/12/2022 19:51:27,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,94,1,2,Screen 1,Zone4,response_button_text,1225,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj37_f_pica_161.wav,Babble_067.wav,i,1,,5-A,noise,subj37,f,pica,161
8,1669953088263,02/12/2022 03:51:28,1669953088013,-8,01/12/2022 19:51:28,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,130,2,1,Screen 2,fixation,fixation,349.90000000000146,,,,,0,1,0,,,,,1,Trial (Noise),o_subj18_f_toque_376.wav,Babble_075.wav,o,1,,5-A,noise,subj18,f,toque,376
9,1669953088531,02/12/2022 03:51:28,1669953088055,-8,01/12/2022 19:51:28,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,130,2,2,Screen 1,Zone6,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj18_f_toque_376.wav,Babble_075.wav,o,1,,5-A,noise,subj18,f,toque,376
10,1669953088531,02/12/2022 03:51:28,1669953088056,-8,01/12/2022 19:51:28,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,130,2,2,Screen 1,Zone8,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj18_f_toque_376.wav,Babble_075.wav,o,1,,5-A,noise,subj18,f,toque,376
