Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669957618317,02/12/2022 05:06:58,1669957618015,-8,01/12/2022 21:06:58,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,949x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669957671454,02/12/2022 05:07:51,1669957671197,-8,01/12/2022 21:07:51,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,1,1,1,Screen 1,advancementZone,continue_button,53128,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669957671782,02/12/2022 05:07:51,1669957671540,-8,01/12/2022 21:07:51,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,1,Screen 2,fixation,fixation,368,,,,,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
4,1669957672122,02/12/2022 05:07:52,1669957671559,-8,01/12/2022 21:07:51,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone6,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
5,1669957672122,02/12/2022 05:07:52,1669957671560,-8,01/12/2022 21:07:51,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone8,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
6,1669957672122,02/12/2022 05:07:52,1669957671561,-8,01/12/2022 21:07:51,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone7,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
7,1669957701991,02/12/2022 05:08:21,1669957701735,-8,01/12/2022 21:08:21,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone7,content_web_audio,30179,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
8,1669957739636,02/12/2022 05:08:59,1669957739410,-8,01/12/2022 21:08:59,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
9,1669957739879,02/12/2022 05:08:59,1669957739510,-8,01/12/2022 21:08:59,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone6,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
10,1669957739879,02/12/2022 05:08:59,1669957739511,-8,01/12/2022 21:08:59,92237,21,task-kixw,,25622776,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1167x736,,Audio Naming Task,26,Block 8-A,soundCheckPassed,8-A,8-A,184,1,2,Screen 1,Zone8,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj46_f_pura_162.wav,Babble_003.wav,u,1,,8-A,noise,subj46,f,pura,162
