Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669954408253,02/12/2022 04:13:28,1669954410027,-6,01/12/2022 22:13:30,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669954413921,02/12/2022 04:13:33,1669954415733,-6,01/12/2022 22:13:35,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,1,1,1,Screen 1,advancementZone,continue_button,5553.700000000012,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669954414322,02/12/2022 04:13:34,1669954416140,-6,01/12/2022 22:13:36,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,4,1,1,Screen 2,fixation,fixation,433.09400000000005,,,,,0,1,0,,,,,1,Trial (Noise),a_subj36_f_vara_225.wav,Babble_196.wav,a,1,,2-B,noise,subj36,f,vara,225
4,1669954414496,02/12/2022 04:13:34,1669954416258,-6,01/12/2022 22:13:36,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,4,1,2,Screen 1,Zone6,content_web_audio,16.199999999982538,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj36_f_vara_225.wav,Babble_196.wav,a,1,,2-B,noise,subj36,f,vara,225
5,1669954414496,02/12/2022 04:13:34,1669954416260,-6,01/12/2022 22:13:36,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,4,1,2,Screen 1,Zone8,content_web_audio,17.89999999999418,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj36_f_vara_225.wav,Babble_196.wav,a,1,,2-B,noise,subj36,f,vara,225
6,1669954414496,02/12/2022 04:13:34,1669954416263,-6,01/12/2022 22:13:36,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,4,1,2,Screen 1,Zone7,content_web_audio,20.79999999998836,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj36_f_vara_225.wav,Babble_196.wav,a,1,,2-B,noise,subj36,f,vara,225
7,1669954417390,02/12/2022 04:13:37,1669954419226,-6,01/12/2022 22:13:39,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,4,1,2,Screen 1,Zone1,response_button_text,2981.600000000006,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj36_f_vara_225.wav,Babble_196.wav,a,1,,2-B,noise,subj36,f,vara,225
8,1669954417739,02/12/2022 04:13:37,1669954419567,-6,01/12/2022 22:13:39,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,95,2,1,Screen 2,fixation,fixation,349.72699999999895,,,,,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pisa_111.wav,Babble_046.wav,i,1,,2-B,noise,subj37,f,pisa,111
9,1669954417951,02/12/2022 04:13:37,1669954419648,-6,01/12/2022 22:13:39,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,95,2,2,Screen 1,Zone6,content_web_audio,4.699999999982538,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pisa_111.wav,Babble_046.wav,i,1,,2-B,noise,subj37,f,pisa,111
10,1669954417951,02/12/2022 04:13:37,1669954419652,-6,01/12/2022 22:13:39,92237,21,task-krt3,,25622515,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,computer,Desktop or Laptop,Chromium OS 15117.111.0,Chrome 107.0.0.0,1366x768,1366x665,,Audio Naming Task,26,Block 2-B,soundCheckPassed,2-B,2-B,95,2,2,Screen 1,Zone8,content_web_audio,8,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj37_f_pisa_111.wav,Babble_046.wav,i,1,,2-B,noise,subj37,f,pisa,111
