Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669955817588,02/12/2022 04:36:57,1669955817482,-5,01/12/2022 23:36:57,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669955825503,02/12/2022 04:37:05,1669955825427,-5,01/12/2022 23:37:05,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,1,1,1,Screen 1,advancementZone,continue_button,7904,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669955825896,02/12/2022 04:37:05,1669955825773,-5,01/12/2022 23:37:05,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,192,1,1,Screen 2,fixation,fixation,351,,,,,0,1,0,,,,,1,Trial (Noise),u_subj17_f_tusa_94.wav,Babble_008.wav,u,1,,9-A,noise,subj17,f,tusa,94
4,1669955826029,02/12/2022 04:37:06,1669955825802,-5,01/12/2022 23:37:05,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,192,1,2,Screen 1,Zone6,content_web_audio,6,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj17_f_tusa_94.wav,Babble_008.wav,u,1,,9-A,noise,subj17,f,tusa,94
5,1669955826029,02/12/2022 04:37:06,1669955825803,-5,01/12/2022 23:37:05,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,192,1,2,Screen 1,Zone8,content_web_audio,7,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj17_f_tusa_94.wav,Babble_008.wav,u,1,,9-A,noise,subj17,f,tusa,94
6,1669955826029,02/12/2022 04:37:06,1669955825805,-5,01/12/2022 23:37:05,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,192,1,2,Screen 1,Zone7,content_web_audio,9,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj17_f_tusa_94.wav,Babble_008.wav,u,1,,9-A,noise,subj17,f,tusa,94
7,1669955826998,02/12/2022 04:37:06,1669955826931,-5,01/12/2022 23:37:06,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,192,1,2,Screen 1,Zone1,response_button_text,1133,,,a,1,0,1,0,,,,,1,Trial (Noise),u_subj17_f_tusa_94.wav,Babble_008.wav,u,1,,9-A,noise,subj17,f,tusa,94
8,1669955827318,02/12/2022 04:37:07,1669955827258,-5,01/12/2022 23:37:07,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,14,2,1,Screen 2,fixation,fixation,350,,,,,0,1,0,,,,,1,Trial (Noise),a_subj7_f_pata_147.wav,Babble_053.wav,a,1,,9-A,noise,subj7,f,pata,147
9,1669955827444,02/12/2022 04:37:07,1669955827280,-5,01/12/2022 23:37:07,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,14,2,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj7_f_pata_147.wav,Babble_053.wav,a,1,,9-A,noise,subj7,f,pata,147
10,1669955827444,02/12/2022 04:37:07,1669955827281,-5,01/12/2022 23:37:07,92237,21,task-p2ei,,25622618,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,750x307,,Audio Naming Task,26,Block 9-A,soundCheckPassed,9-A,9-A,14,2,2,Screen 1,Zone8,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj7_f_pata_147.wav,Babble_053.wav,a,1,,9-A,noise,subj7,f,pata,147
