Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669950637805,02/12/2022 03:10:37,1669950637665,-6,01/12/2022 21:10:37,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669950640540,02/12/2022 03:10:40,1669950640448,-6,01/12/2022 21:10:40,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,1,1,1,Screen 1,advancementZone,continue_button,2728.2000000029802,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669950640869,02/12/2022 03:10:40,1669950640782,-6,01/12/2022 21:10:40,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,189,1,1,Screen 2,fixation,fixation,350.03499999999985,,,,,0,1,0,,,,,1,Trial (Noise),u_subj18_f_supe_263.wav,Babble_071.wav,u,1,,5-B,noise,subj18,f,supe,263
4,1669950641103,02/12/2022 03:10:41,1669950640799,-6,01/12/2022 21:10:40,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,189,1,2,Screen 1,Zone6,content_web_audio,2.7999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj18_f_supe_263.wav,Babble_071.wav,u,1,,5-B,noise,subj18,f,supe,263
5,1669950641103,02/12/2022 03:10:41,1669950640800,-6,01/12/2022 21:10:40,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,189,1,2,Screen 1,Zone8,content_web_audio,3.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj18_f_supe_263.wav,Babble_071.wav,u,1,,5-B,noise,subj18,f,supe,263
6,1669950641103,02/12/2022 03:10:41,1669950640801,-6,01/12/2022 21:10:40,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,189,1,2,Screen 1,Zone7,content_web_audio,4.399999998509884,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj18_f_supe_263.wav,Babble_071.wav,u,1,,5-B,noise,subj18,f,supe,263
7,1669950642293,02/12/2022 03:10:42,1669950642201,-6,01/12/2022 21:10:42,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,189,1,2,Screen 1,Zone2,response_button_text,1403.7999999970198,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj18_f_supe_263.wav,Babble_071.wav,u,1,,5-B,noise,subj18,f,supe,263
8,1669950642646,02/12/2022 03:10:42,1669950642547,-6,01/12/2022 21:10:42,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,155,2,1,Screen 2,fixation,fixation,350.07800000000043,,,,,0,1,0,,,,,1,Trial (Noise),o_subj1_m_toco_222.wav,Babble_140.wav,o,1,,5-B,noise,subj1,m,toco,222
9,1669950642816,02/12/2022 03:10:42,1669950642558,-6,01/12/2022 21:10:42,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,155,2,2,Screen 1,Zone6,content_web_audio,1.2999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj1_m_toco_222.wav,Babble_140.wav,o,1,,5-B,noise,subj1,m,toco,222
10,1669950642816,02/12/2022 03:10:42,1669950642559,-6,01/12/2022 21:10:42,92237,21,task-qzp9,,25622299,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Audio Naming Task,26,Block 5-B,soundCheckPassed,5-B,5-B,155,2,2,Screen 1,Zone8,content_web_audio,1.8999999985098839,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj1_m_toco_222.wav,Babble_140.wav,o,1,,5-B,noise,subj1,m,toco,222
