Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669955341242,02/12/2022 04:29:01,1669955341807,-8,01/12/2022 20:29:01,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669955346908,02/12/2022 04:29:06,1669955347303,-8,01/12/2022 20:29:07,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,1,1,1,Screen 1,advancementZone,continue_button,5475,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669955347125,02/12/2022 04:29:07,1669955347646,-8,01/12/2022 20:29:07,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,60,1,1,Screen 2,fixation,fixation,347.02000000000044,,,,,0,1,0,,,,,1,Trial (Noise),e_subj23_f_veto_139.wav,Babble_144.wav,e,1,,3-B,noise,subj23,f,veto,139
4,1669955347125,02/12/2022 04:29:07,1669955347655,-8,01/12/2022 20:29:07,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,60,1,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj23_f_veto_139.wav,Babble_144.wav,e,1,,3-B,noise,subj23,f,veto,139
5,1669955347125,02/12/2022 04:29:07,1669955347655,-8,01/12/2022 20:29:07,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,60,1,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj23_f_veto_139.wav,Babble_144.wav,e,1,,3-B,noise,subj23,f,veto,139
6,1669955347125,02/12/2022 04:29:07,1669955347656,-8,01/12/2022 20:29:07,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,60,1,2,Screen 1,Zone7,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),e_subj23_f_veto_139.wav,Babble_144.wav,e,1,,3-B,noise,subj23,f,veto,139
7,1669955349296,02/12/2022 04:29:09,1669955349917,-8,01/12/2022 20:29:09,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,60,1,2,Screen 1,Zone5,response_button_text,2262,,,e,1,1,0,0,,,,,1,Trial (Noise),e_subj23_f_veto_139.wav,Babble_144.wav,e,1,,3-B,noise,subj23,f,veto,139
8,1669955349644,02/12/2022 04:29:09,1669955350256,-8,01/12/2022 20:29:10,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,101,2,1,Screen 2,fixation,fixation,347,,,,,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pisa_179.wav,Babble_001.wav,i,1,,3-B,noise,subj38,f,pisa,179
9,1669955349831,02/12/2022 04:29:09,1669955350265,-8,01/12/2022 20:29:10,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,101,2,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pisa_179.wav,Babble_001.wav,i,1,,3-B,noise,subj38,f,pisa,179
10,1669955349831,02/12/2022 04:29:09,1669955350265,-8,01/12/2022 20:29:10,92237,21,task-u8wc,,25622575,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Audio Naming Task,26,Block 3-B,soundCheckPassed,3-B,3-B,101,2,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj38_f_pisa_179.wav,Babble_001.wav,i,1,,3-B,noise,subj38,f,pisa,179
