Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1666127332000,18/10/2022 21:08:52,1666127330723,-7,18/10/2022 14:08:50,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1538x734,,Language Background,5,Block 8-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1666127423525,18/10/2022 21:10:23,1666127422303,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-1,18-25
3,1666127423814,18/10/2022 21:10:23,1666127422305,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-1-quantised,1
4,1666127423814,18/10/2022 21:10:23,1666127422305,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-gender,f
5,1666127423814,18/10/2022 21:10:23,1666127422305,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-impairment,No
6,1666127423814,18/10/2022 21:10:23,1666127422306,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-impairment-quantised,2
7,1666127423814,18/10/2022 21:10:23,1666127422306,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-native,"no, ingles"
8,1666127423814,18/10/2022 21:10:23,1666127422306,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-fluency,"ingles, nativo"
9,1666127423814,18/10/2022 21:10:23,1666127422306,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-where,en casa
10,1666127423814,18/10/2022 21:10:23,1666127422307,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,response-aoa,3
11,1666127423814,18/10/2022 21:10:23,1666127422307,-7,18/10/2022 14:10:22,92237,16,questionnaire-enic,,24671000,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1535x864,1523x734,,Language Background,5,Block 8-A,soundCheckPassed,No,END QUESTIONNAIRE,91584
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
